"sensitivity","specification","n","countries","ridge_covariates","country_random_slope","AIC","dAIC","pfpr_smooth_edf","pct_change_per_10","pfpr_p","af10","af30","af50"
"primary_structure","spline_no_interaction",921,34,17,TRUE,7100.01390796677,7.59150783377845,2.84761799693714,NA,0,0.13017620790523,0.32814684327569,0.388828029509606
"no_country_pfpr_slope","spline_no_interaction",921,34,17,FALSE,7107.41533350358,14.9929333705813,2.86987627049558,NA,0,0.130160072679111,0.323691011455456,0.38438217165025
"regional_covariates_only","spline_no_interaction",921,34,11,TRUE,7129.67095522464,37.2485550916472,3.01602143053666,NA,0,0.15389240888358,0.36222249345373,0.419110952623069
"national_covariates_only","spline_no_interaction",921,34,6,TRUE,7312.96332711913,220.54092698613,3.20976486781261,NA,0,0.206938581421469,0.46355475370479,0.53938292800794
"spline_k4","spline_no_interaction",921,34,17,TRUE,7092.422400133,0,2.56273876603667,NA,0,0.147957305528734,0.346791703644318,0.407546931391151
"spline_k8","spline_no_interaction",921,34,17,TRUE,7099.84958009359,7.42717996059855,2.96398662069941,NA,0,0.12997951440903,0.328262601358087,0.390492805148717
