"year","prevalence","af","lo","hi"
2000,10,0.0558944950636487,-0.116882627886534,0.256737882687048
2000,30,0.072240623638188,-0.228043208239666,0.365836909282865
2000,50,0.0209157913192709,-0.367172413469884,0.323311091620708
2001,10,0.0462372540717481,-0.0961326285279548,0.214807911304899
2001,30,0.0670845974502546,-0.181144152509492,0.321256760089393
2001,50,0.0182644832914951,-0.294473540562613,0.282250532001544
2002,10,0.0355853545405476,-0.0899886360920252,0.1780116211561
2002,30,0.0587763479982852,-0.161107651393403,0.286137938273089
2002,50,0.011519517229671,-0.258496699302394,0.249260272508219
2003,10,0.0236760121146739,-0.0939694783150349,0.14879027035294
2003,30,0.0461322332666591,-0.157445002291978,0.260841958971356
2003,50,-0.00104625429242545,-0.254072931179308,0.226403359768837
2004,10,0.0102930587833829,-0.107829372383291,0.128396716514098
2004,30,0.0280573338699907,-0.177778755323569,0.236580551696619
2004,50,-0.0211035454633386,-0.271477864212935,0.204420688121817
2005,10,-0.00478527491483883,-0.134750403342831,0.108709826784923
2005,30,0.00325030907241808,-0.209273621781754,0.209888159924626
2005,50,-0.0507118816985721,-0.303919798320359,0.170379996821922
2006,10,-0.0212572929802506,-0.162306169472808,0.0878467881354975
2006,30,-0.0281319698093489,-0.247782535642376,0.169762456756329
2006,50,-0.0899820956371654,-0.353279422333601,0.121951671713255
2007,10,-0.037473309711815,-0.199375075427595,0.0723641982630103
2007,30,-0.0614389398628805,-0.301601878319625,0.132534656276674
2007,50,-0.132613184635599,-0.425286883109523,0.0868174794526465
2008,10,-0.051420525506855,-0.232879517742677,0.0633771020057066
2008,30,-0.0903632993945602,-0.359656538363754,0.108317244175344
2008,50,-0.169684408206926,-0.511980667246595,0.0682094510948071
2009,10,-0.0608727480351736,-0.261922129953143,0.0585700643670997
2009,30,-0.107302061295667,-0.405570655943666,0.0961517709850398
2009,50,-0.190114109024896,-0.574050076170681,0.0664486121313279
2010,10,-0.0635494532945127,-0.266280062909471,0.0563726205413204
2010,30,-0.104299349820087,-0.394018445336383,0.0965273699001917
2010,50,-0.182228922279529,-0.570897118838653,0.0720726522103723
2011,10,-0.059140390036549,-0.256832526415486,0.0583571575762482
2011,30,-0.0806491834177601,-0.328712602569315,0.105227753503488
2011,50,-0.144753698611413,-0.482665688835136,0.0880701805604252
2012,10,-0.0499150714663077,-0.237626356902541,0.0660689200343705
2012,30,-0.0446958848242528,-0.261415817729773,0.127783479010979
2012,50,-0.0893090670362825,-0.371943820177694,0.122910554612797
2013,10,-0.0382700734416444,-0.214516836698931,0.074974382046778
2013,30,-0.00459072901865975,-0.198509969941598,0.163225094607178
2013,50,-0.0272177988922277,-0.274534645993599,0.167238617491753
2014,10,-0.0264210679460186,-0.193481114986578,0.0841230342062072
2014,30,0.0331291811501567,-0.152963361827999,0.206164148020756
2014,50,0.032807140558966,-0.197506065785267,0.226362539202474
2015,10,-0.0163160361361975,-0.173808318397784,0.090076995640262
2015,30,0.0635063060155181,-0.116080868955663,0.234782554085216
2015,50,0.0846597902918758,-0.130010033530557,0.278205762093006
2016,10,-0.00840544068487206,-0.159366177537927,0.0961273642386644
2016,30,0.0853349975606033,-0.0902839714951414,0.24968770546744
2016,50,0.126489613940272,-0.0838222398679435,0.312665930147292
2017,10,-0.00206553619823927,-0.146727874550499,0.0975626286506799
2017,30,0.099650242049322,-0.0736518614242503,0.258820271599442
2017,50,0.158763173124937,-0.0489478156877645,0.341051405571867
2018,10,0.00337125614968765,-0.135982507425624,0.100251222148603
2018,30,0.10745747652781,-0.0689180011790577,0.267702187463673
2018,50,0.18196623754156,-0.0294727509675994,0.361462945971987
2019,10,0.00861456425685067,-0.126259611437543,0.101934117500462
2019,30,0.109884232451723,-0.075114731663475,0.268499066514553
2019,50,0.196622367920718,-0.0185429100851379,0.380726944663549
2020,10,0.0142776964099865,-0.113610552882256,0.105824275399744
2020,30,0.108041233733706,-0.0825048563341485,0.262773427488797
2020,50,0.203177169014514,-0.0146703587705263,0.38587484288072
2021,10,0.0203036076772316,-0.114273498442425,0.109892538597848
2021,30,0.102510633390614,-0.0887980170492792,0.25576136057594
2021,50,0.202484460627684,-0.0235987977553667,0.390973767218736
2022,10,0.0263259123475819,-0.117530114767862,0.128639996549353
2022,30,0.0934492739801227,-0.117948937606506,0.262564811762104
2022,50,0.195318998611178,-0.0638584364228918,0.40276113251254
2023,10,0.0320170296018547,-0.131787278025483,0.163487009654151
2023,30,0.0809784423676804,-0.182056879832354,0.281261578213849
2023,50,0.182347482166773,-0.142949747029794,0.425504601666966
2024,10,0.037151269053021,-0.157133781529599,0.212618538824378
2024,30,0.0654468912659033,-0.285334809680566,0.31011224349952
2024,50,0.16450334413076,-0.268050067678708,0.459228847028943
