"zone","n","countries","r2_without_month","r2_with_month","increment","month_p","amplitude_pp","peak_month","trough_month"
"Seasonal belt (>=10N)",199,11,0.975714179258375,0.977452271214996,0.00173809195662089,0.0285717914185296,5.22725326136689,"Jan","Aug"
"Northern equatorial (0-10N)",177,11,0.832867927870296,0.850735133198702,0.0178672053284059,0.000731652031022767,10.7777615054684,"Oct","Mar"
"Southern equatorial (10S-0)",85,6,0.698295264564627,0.712626392363041,0.0143311277984142,0.0374677002496017,6.22182858185175,"Feb","Sep"
"Southern (below 10S)",75,5,0.865425417691615,0.880232441799133,0.014807024107518,0.511581846376229,5.89739057428961,"Feb","Oct"
