"label","group","ref","est","lo","hi","n","p"
"Full covariate set (primary)","Primary model",TRUE,8.60317693049728,5.41064474891235,11.8924001223187,991,5.91204959785712e-08
"Survey-region covariates only","Covariate adjustment",FALSE,8.78642651168129,5.38491060886597,12.2977333738499,991,2.03545684775332e-07
"Include PfPR₂₋₁₀ < 1% regions","Analysis sample",FALSE,8.54749842728117,5.36062354347415,11.8307676867427,1001,6.86556923891249e-08
"Restrict to PfPR₂₋₁₀ 5–40%","Analysis sample",FALSE,12.5881743040302,7.36933537178552,18.0606823095387,611,9.76386670598334e-07
"Complete cases (all covariates)","Analysis sample",FALSE,9.27921264993814,5.96395310191533,12.698195639273,926,1.64689105710068e-08
"No country PfPR random slope","Model structure",FALSE,7.07912770279142,5.12256003843703,9.07211149917111,991,3.60558146934643e-13
"Log-Gaussian likelihood (log-rate)","Likelihood",FALSE,4.86248774170035,-2.09707012828629,12.3167748890351,991,0.175706050529114
