"decile","age_months","age_months_interpolated"
10,0,0.310842991915662
20,0,0.621685983831324
30,0,0.932528975746986
40,3,3.20599360518028
50,6,6.97429758449282
60,11,11.3134483203034
70,15,15.0334243195823
80,24,24.2862511650984
90,36,36.1922884463908
