"split","subset","n","countries","surveys","median_year","selected","year_k","pfpr_edf_ml","pfpr_edf_reml","delta_aic_to_runner_up","linear_pct_change_per_10","linear_lo","linear_hi","linear_p","af10_selected","af30_selected","af50_selected","af10_common","af30_common","af50_common"
"reference","all data",1111,35,118,2013,"spline_no_interaction",8,3.24001371537145,3.41460266457169,3.97297561742926,5.81882817407788,4.01143392340251,7.65762929853773,1.23736349354206e-10,0.147026698977833,0.32169182978394,0.361220603327094,0.147026698977833,0.32169182978394,0.361220603327094
"era","before 2013",553,32,66,2007,"spline_no_interaction",8,3.46108651229677,3.60523619940638,1.00521762168864,4.15519950409626,2.17218053359369,6.17670609634515,3.30868535160168e-05,0.166471487236615,0.327762364691636,0.343093236403199,0.166471487236615,0.327762364691636,0.343093236403199
"era","2013 onwards",558,29,52,2019,"linear_no_interaction",8,1.68666622077067,2.47416064441104,0.278904826586768,12.5684076099117,8.80054176246226,16.4667582216317,9.36694760420391e-12,0.10107154149812,0.290598529421265,0.440166298330381,0.163534362946451,0.378557116775916,0.460662888000399
"region","West",427,14,51,2012,"linear_time_interaction",8,1.00012041993157,3.63079602729092,1.56691548412164,5.15390782382505,2.56037542655076,7.81302510481041,8.0074406610493e-05,0.06702858291328,0.200333152561337,0.314590934747734,0.186991640900606,0.351009683834785,0.372739541538959
"region","Central & East",684,21,67,2013,"spline_no_interaction",8,2.92931799338361,3.07367153367608,2.09442307860354,6.07937844950235,3.46839695032728,8.75624696915871,3.45796444639924e-06,0.129909934335563,0.311457725381876,0.347908710136929,0.129909934335563,0.311457725381876,0.347908710136929
"era x region","West, before 2013",216,11,25,2008,"full_te_surface",8,4.20329079807404,4.27045216238552,4.42942735614406,4.80795542214825,1.76000689552842,7.94719708547611,0.00181652156626647,0.236594455131123,0.429220107440314,0.434377887636,0.348595242283989,0.551971448090977,0.544872823038686
"era x region","Central & East, before 2013",337,21,41,2007,"spline_time_interaction",8,2.48452185067493,2.70600141247153,1.48890050058935,3.86192599302078,1.01096009765089,6.79335846873703,0.00762283078837903,0.110013860804275,0.260091394367227,0.308142575459872,0.109398038588191,0.255487036799182,0.284836920084817
"era x region","West, 2013 onwards",211,13,26,2019,"spline_time_interaction",8,1.0001697066787,1.00016304470171,3.03662130387511,7.15943451940917,1.78593778792377,12.8166096032368,0.00842840937103431,0.0709957361399688,0.192344056751766,0.305491909681106,0.0603383394229855,0.181702536868101,0.287386412196213
"era x region","Central & East, 2013 onwards",347,16,26,2019,"spline_no_interaction",8,2.07101570436703,2.51797323193104,2.03882661998978,14.8421985974694,9.74569770852618,20.1753768400887,2.29530975200503e-09,0.204289499763604,0.431487309107139,0.491903300468263,0.204289499763604,0.431487309107139,0.491903300468263
