"outcome","n","countries","pct_change_per_10","pct_change_lo","pct_change_hi","pfpr_p"
"postneonatal_mortality",991,34,8.60317693049728,5.41064474891235,11.8924001223187,5.91204959785712e-08
"u5mr",991,34,6.22427411048181,3.84362894484442,8.65949625365994,1.77617050410104e-07
"nnmr",991,34,1.29075355846726,-0.85501503420935,3.48296245122468,0.24040680979049
