"region","year","prevalence","af","lo","hi"
"Central & East",2004,1.52770641903335,0.00344761668759572,0,0.0117287199949348
"Central & East",2004,3.54922426064117,0.0162707767610152,0,0.0543767226065142
"Central & East",2004,5.570742102249,0.0281315378416934,0,0.090059274537327
"Central & East",2004,7.59225994385683,0.0389862426337411,0,0.121075646366586
"Central & East",2004,9.61377778546466,0.0493006263944593,0,0.148557519659959
"Central & East",2004,11.6352956270725,0.0594235615499437,0,0.172151033149173
"Central & East",2004,13.6568134686803,0.0695299118089038,0,0.193095356441734
"Central & East",2004,15.6783313102881,0.079758390937819,0,0.215266312301439
"Central & East",2004,17.699849151896,0.0901884923241739,0,0.233279031479787
"Central & East",2004,19.7213669935038,0.100770768593406,0,0.248502728994655
"Central & East",2004,21.7428848351116,0.111450976418098,0,0.265052688498516
"Central & East",2004,23.7644026767195,0.12206971334121,0,0.281419302086688
"Central & East",2004,25.7859205183273,0.132566744097111,0,0.295460898212394
"Central & East",2004,27.8074383599351,0.142784804649945,0,0.307644597339256
"Central & East",2004,29.8289562015429,0.152563524649119,0,0.319770986693638
"Central & East",2004,31.8504740431508,0.161773675026839,0,0.329364668637184
"Central & East",2004,33.8719918847586,0.170249295081499,0,0.337814411262165
"Central & East",2004,35.8935097263664,0.177832279217284,0,0.345535755962463
"Central & East",2004,37.9150275679742,0.184350694399755,0,0.353385113239437
"Central & East",2004,39.9365454095821,0.189646714592855,0,0.358837690649035
"Central & East",2004,41.9580632511899,0.193627301963174,0,0.363976921750471
"Central & East",2004,43.9795810927977,0.196326778879047,0,0.367510958581526
"Central & East",2004,46.0010989344056,0.197805738370755,0,0.369786004724291
"Central & East",2004,48.0226167760134,0.198118573391394,0,0.36944858850652
"Central & East",2004,50.0441346176212,0.197328588868854,0,0.369452529863119
"Central & East",2004,52.065652459229,0.19549815585812,0,0.367835340237105
"Central & East",2004,54.0871703008369,0.192666384057862,0,0.367523842036749
"Central & East",2004,56.1086881424447,0.188890733713407,0,0.365039241947972
"Central & East",2004,58.1302059840525,0.184276737427728,0,0.363933116316703
"Central & East",2004,60.1517238256604,0.178907402908081,0,0.362343268276039
"Central & East",2004,62.1732416672682,0.172882189520638,0,0.360134273727169
"Central & East",2004,64.194759508876,0.166343223258468,0,0.358091133757762
"Central & East",2004,66.2162773504838,0.15947002739944,0,0.356682216133428
"Central & East",2004,68.2377951920917,0.152583171507925,0,0.359397276902189
"Central & East",2004,70.2593130336995,0.145759169639126,0,0.362574861522809
"Central & East",2013,2.09001605717572,0.0121534814945881,0,0.0341091507426904
"Central & East",2013,3.62667138466105,0.0286973940540584,0,0.0783256097841835
"Central & East",2013,5.16332671214638,0.0443303766829084,0,0.11589163032875
"Central & East",2013,6.6999820396317,0.0589512838750055,0,0.14732287356762
"Central & East",2013,8.23663736711703,0.0727268818756446,0,0.173743793006221
"Central & East",2013,9.77329269460236,0.0857919480242642,0,0.197971900556148
"Central & East",2013,11.3099480220877,0.0982936951696337,0,0.218860149922539
"Central & East",2013,12.846603349573,0.110330389927946,0,0.237487165859602
"Central & East",2013,14.3832586770583,0.121966230655877,0,0.255886860345704
"Central & East",2013,15.9199140045437,0.133177359449646,0,0.272703986316534
"Central & East",2013,17.456569332029,0.143920747885567,0.00491751001596351,0.286883045467033
"Central & East",2013,18.9932246595143,0.154133331642096,0.0105241099517114,0.298449927719085
"Central & East",2013,20.5298799869997,0.163747611196175,0.0159485833925299,0.310554082344725
"Central & East",2013,22.066535314485,0.172708688162383,0.0211351047079212,0.321629833795365
"Central & East",2013,23.6031906419703,0.180963975219562,0.028015686605997,0.331602131639583
"Central & East",2013,25.1398459694556,0.188501929577432,0.0322379423879202,0.339558334166716
"Central & East",2013,26.676501296941,0.195390202907956,0.0379201761278947,0.345116744501028
"Central & East",2013,28.2131566244263,0.201669676009089,0.04281944356017,0.352182073232057
"Central & East",2013,29.7498119519116,0.207387135515915,0.0458976532740104,0.357802123606861
"Central & East",2013,31.286467279397,0.212587834423743,0.0509143783160395,0.361431668210953
"Central & East",2013,32.8231226068823,0.217321555762959,0.0538029304217088,0.365854895913443
"Central & East",2013,34.3597779343676,0.221623684879509,0.0539256085999623,0.36931212252915
"Central & East",2013,35.8964332618529,0.225541304003858,0.0564231843636416,0.372826296808341
"Central & East",2013,37.4330885893383,0.229127001012845,0.0552651172109238,0.37642100132665
"Central & East",2013,38.9697439168236,0.232429203989701,0.0544978562775965,0.381310540288479
"Central & East",2013,40.5063992443089,0.235493159665482,0.0551729422363163,0.385702631137394
"Central & East",2013,42.0430545717942,0.23834361808548,0.055873678170633,0.389446813596652
"Central & East",2013,43.5797098992796,0.241004830084529,0.053559653274821,0.393194619861879
"Central & East",2013,45.1163652267649,0.243481098575502,0.0545721423449448,0.397281505105229
"Central & East",2013,46.6530205542502,0.245782294197255,0.0535136123650671,0.399737169701409
"Central & East",2013,48.1896758817356,0.247912007351166,0.0536373202171949,0.404459631191428
"Central & East",2013,49.7263312092209,0.249882109741454,0.0526199692220155,0.410265939226051
"Central & East",2013,51.2629865367062,0.251695629950805,0.0510814060098784,0.41232053974384
"Central & East",2013,52.7996418641915,0.253350442623399,0.0491624791904028,0.416539455061352
"Central & East",2013,54.3362971916769,0.254855420303071,0.0498073507337707,0.420593103132403
"Central & East",2022,1.61705309987775,0.00504556698295723,0,0.0155929623333295
"Central & East",2022,2.97279629130949,0.0158975062052441,0,0.0485264393684168
"Central & East",2022,4.32853948274123,0.0263068507465083,0,0.0789488956726553
"Central & East",2022,5.68428267417297,0.0361759232668137,0,0.10463249982871
"Central & East",2022,7.0400258656047,0.0455674603839216,0,0.12871360040197
"Central & East",2022,8.39576905703644,0.0546271001937174,0,0.149247492920852
"Central & East",2022,9.75151224846818,0.0634959829712203,0,0.168203007950641
"Central & East",2022,11.1072554398999,0.0722847491565742,0,0.186454734368412
"Central & East",2022,12.4629986313317,0.0810541874897416,0,0.20324544575224
"Central & East",2022,13.8187418227634,0.0898647066056285,0,0.218349473226001
"Central & East",2022,15.1744850141951,0.0987323719623959,0,0.232721786102396
"Central & East",2022,16.5302282056269,0.10770842207503,0,0.246936779591647
"Central & East",2022,17.8859713970586,0.116800534747227,0,0.262457034853673
"Central & East",2022,19.2417145884903,0.126046614754522,0,0.276414595399101
"Central & East",2022,20.5974577799221,0.135449698081959,0,0.290509923599511
"Central & East",2022,21.9532009713538,0.144979119099607,0,0.3040877617491
"Central & East",2022,23.3089441627856,0.154662457757232,0,0.316681473363596
"Central & East",2022,24.6646873542173,0.164462246622747,0,0.327626878713764
"Central & East",2022,26.020430545649,0.174365521435144,0,0.339864337306138
"Central & East",2022,27.3761737370808,0.184324937390362,0,0.351622190404318
"Central & East",2022,28.7319169285125,0.194313024815513,0.000157248023695146,0.361968769761193
"Central & East",2022,30.0876601199443,0.204325088514865,0.0119693960191299,0.371782471096971
"Central & East",2022,31.443403311376,0.214279544940846,0.0219979799113929,0.382908533953538
"Central & East",2022,32.7991465028077,0.224147890602816,0.0326031812519562,0.39327094201999
"Central & East",2022,34.1548896942395,0.233880720909277,0.0421427375323428,0.403220569796985
"Central & East",2022,35.5106328856712,0.243429730516762,0.0520841204587526,0.413624445021405
"Central & East",2022,36.8663760771029,0.252771436221698,0.0598916052405894,0.424617567521146
"Central & East",2022,38.2221192685347,0.261867821741787,0.0672879075954793,0.433624917361454
"Central & East",2022,39.5778624599664,0.27069324934595,0.0750972263056664,0.443795519549882
"Central & East",2022,40.9336056513982,0.279242431414773,0.0812524540407568,0.451091999276998
"Central & East",2022,42.2893488428299,0.287506293880751,0.0888754462297995,0.458935146279726
"Central & East",2022,43.6450920342616,0.295493372797633,0.0926188083325312,0.469812056288898
"Central & East",2022,45.0008352256934,0.303213273714808,0.0949571558754104,0.478561769626714
"Central & East",2022,46.3565784171251,0.310672149977793,0.0992952055785624,0.489316035455295
"Central & East",2022,47.7123216085568,0.317875018980533,0.101968443513252,0.497306439573215
"West",2004,3.32734168234401,0.0319958774522442,0,0.10775576613987
"West",2004,5.52432737746621,0.0595339842309985,0,0.194095475644315
"West",2004,7.72131307258842,0.0844323385817885,0,0.260953944965715
"West",2004,9.91829876771062,0.107158815561489,0,0.316638441023937
"West",2004,12.1152844628328,0.127967783389674,0,0.364428505205467
"West",2004,14.312270157955,0.147040604197637,0,0.407679186983514
"West",2004,16.5092558530772,0.164453152241113,0,0.437571161106505
"West",2004,18.7062415481994,0.180052594877068,0,0.464040884270177
"West",2004,20.9032272433217,0.193637087257236,0,0.481314839718448
"West",2004,23.1002129384439,0.205013540216173,0,0.494615741457212
"West",2004,25.2971986335661,0.214155395387101,0,0.507395757686088
"West",2004,27.4941843286883,0.221410787758196,0,0.515613436720035
"West",2004,29.6911700238105,0.22717560789494,0,0.517974759723585
"West",2004,31.8881557189327,0.231813042671512,0,0.518733834299409
"West",2004,34.0851414140549,0.235672601572638,0,0.517411955522343
"West",2004,36.2821271091771,0.239085684489076,0,0.517022863720457
"West",2004,38.4791128042993,0.242397279183213,0,0.519853585893237
"West",2004,40.6760984994215,0.245952432375267,0,0.519210508271083
"West",2004,42.8730841945437,0.249945607823824,0,0.521815690281096
"West",2004,45.0700698896659,0.254374861433064,0,0.5217999350554
"West",2004,47.2670555847881,0.259220689793424,0,0.522993977141094
"West",2004,49.4640412799103,0.264455882082427,0,0.525656331904346
"West",2004,51.6610269750325,0.270072145781853,0,0.530952129603182
"West",2004,53.8580126701547,0.27602093929237,0,0.53502558161593
"West",2004,56.0549983652769,0.28226487304616,0,0.54151938054178
"West",2004,58.2519840603992,0.288771465314932,0,0.54711270219193
"West",2004,60.4489697555214,0.295519810502852,0,0.553548796690014
"West",2004,62.6459554506436,0.302476658952722,0,0.559076986825456
"West",2004,64.8429411457658,0.30960490527742,0,0.566627820148067
"West",2004,67.039926840888,0.31685752282623,0.00345365817300464,0.573853144178228
"West",2004,69.2369125360102,0.324177979168503,0.0102299130368154,0.579572248534464
"West",2004,71.4338982311324,0.331549947707764,0.0136663533339678,0.588315542589709
"West",2004,73.6308839262546,0.338928632237205,0.0148673253224017,0.595242580904479
"West",2004,75.8278696213768,0.346273725967843,0.0194934933948195,0.604674661765676
"West",2004,78.024855316499,0.353545728263724,0.0201191642408427,0.617259685136151
"West",2013,1.8543911962326,0.017558111495592,0,0.0422916923690929
"West",2013,4.01805339183453,0.059929564739182,0,0.13871528370414
"West",2013,6.18171558743646,0.0991273146079311,0,0.217664167957415
"West",2013,8.34537778303839,0.135458728443396,0,0.284040787292128
"West",2013,10.5090399786403,0.169379342844036,0.0144121939483474,0.337958730316991
"West",2013,12.6727021742423,0.201288095287792,0.0330008739841896,0.383369623172941
"West",2013,14.8363643698442,0.231356589362019,0.0562576991567349,0.421295364574922
"West",2013,17.0000265654461,0.259300332109856,0.0798563633434188,0.451589461262562
"West",2013,19.163688761048,0.28470418611923,0.102070710593526,0.479356234460522
"West",2013,21.32735095665,0.307232259383978,0.124383550341987,0.501701409768877
"West",2013,23.4910131522519,0.326534271990653,0.141006272945023,0.517472556442238
"West",2013,25.6546753478538,0.342646427404491,0.157008472983657,0.532616053114754
"West",2013,27.8183375434558,0.356199909083622,0.170184173188731,0.542798272830617
"West",2013,29.9819997390577,0.367784505953987,0.182953775411622,0.550365422801817
"West",2013,32.1456619346596,0.377942871088207,0.194902371329452,0.557707653120275
"West",2013,34.3093241302616,0.387181870749642,0.204872836030318,0.562995288086259
