"label","n","median_exposure","pct_change_per_10","lo","hi","ci_width","p_value","af10","af30","af50"
"A  Period 60 + survey-year prevalence (published primary)",876,696,8.9623209642038,5.89037812949229,12.1233826872075,6.23300455771516,4.03743551056754e-09,15.4833144803034,35.8908851180457,41.61176808618
"B  Period 60 + 5-year window (approximately matched)",876,696,8.31702699472599,5.1308392961716,11.5997781005392,6.46893880436763,1.5655858545576e-07,14.5805477484675,32.8622245723569,38.8698955634095
"C  Period 36 + 4-year window (centre-matched)",876,572,8.42147315879931,5.43677197509773,11.490665179892,6.05389320479424,1.36907501497561e-08,12.7494687235796,30.8520132881088,37.9577249060578
"D  Period 24 + 3-year window (centre-matched)",872,502,8.53300127322763,5.57800569080569,11.5707034651844,5.9926977743787,6.09719911735171e-09,10.0287401485668,26.6358440169802,36.1205816364264
"E  Period 24 + survey-year prevalence (outcome fix only)",872,502,9.2201625336976,6.1898902249915,12.3369077660074,6.1470175410159,8.06342977773593e-10,11.850383462043,31.2062694094747,39.6815056424481
"F  Period 24 + 5-year window (over-lagged)",872,502,7.81470852037234,4.70323205748546,11.0186490418069,6.31541698432148,4.7508060277539e-07,9.28022721985777,24.7859799204813,33.5597964692274
