"label","group","n","pct_change_per_10","lo","hi","p_value"
"Neonatal (<1 month)","Age window",857,0.996099665186034,-1.12766261371486,3.16548002429538,0.360660929982549
"Post-neonatal (1-59 months)","Age window",857,9.10019672113194,5.98241268484585,12.3096995346252,3.91286071401799e-09
"Ages 5-14 years","Age window",857,3.98486837505712,0.501764610776911,7.58868655544462,0.024580298955095
"5-14: restrict PfPR 5-40%","5-14 robustness",537,3.43713510510668,-1.98811012995835,9.16268355746121,0.218909850996135
"5-14: exclude PfPR < 5%","5-14 robustness",697,3.03094648683655,-0.306325979600841,6.47993504383513,0.0755059598199071
"5-14: regions with >=10 deaths","5-14 robustness",502,1.61881308995664,-1.36243144034329,4.69016343976558,0.290497426464699
