"model","label","structure","elpd_loo","se_elpd_loo","p_loo","elpd_diff","se_diff","pareto_k_over_0.7","stacking_weight","divergent","max_rhat","min_bulk_ess"
"C","C: curve changes linearly in time","A + s(pfpr10, by = year_c)",-4072.05553453082,39.4727883384299,50.6073917984785,0,0,0,0.102746517960819,4,1.00312394022165,987.346820659012
"D","D: full surface","t2(pfpr10, year_c)",-4072.26886357622,39.5160403276191,52.5241027369926,-0.213329045406329,1.18102976562882,0,0.43787681940855,0,1.00555772313751,785.653905904939
"A","A: additive","s(pfpr10) + s(year_c)",-4072.41263290882,39.5473616017185,49.6636237835404,-0.357098378001914,2.25701226923056,0,0.459376662630631,2,1.01131259426529,978.246881559752
