"subset","n","sds_mean","sds_q5","sds_q95"
"all data",1111,0.543267933921464,0.209214454867484,1.17212889521076
"before 2013",553,0.676903183371784,0.247537603059191,1.43161105184495
"2013 onwards",558,0.470364192761942,0.0850013577636923,1.16119502560623
"West",427,0.509980903117917,0.0382293414989149,1.36550115324771
"Central & East",684,0.629218752288296,0.23466242059587,1.37288083466225
"West, before 2013",216,1.23509415056612,0.360792129317266,2.69604170094668
"Central & East, before 2013",337,0.560646117716055,0.1542525221946,1.30742623551291
"West, 2013 onwards",211,0.418578710426345,0.0251725958077744,1.25537331860558
"Central & East, 2013 onwards",347,0.637282683672855,0.131252847804385,1.55008378717942
