"iso3","state","key","year","series","exposure_source","pfpr_pct","under5_person_years","ihme_under5_deaths","attributable_under5_deaths","counterfactual_under5_deaths","attributable_fraction","ihme_malaria_rate_per100000","ihme_malaria_rate_lower","ihme_malaria_rate_upper","ihme_malaria_deaths","any_current_pfpr_outside_central95","any_zero_below_observed_support","any_negative_attributable_band","model_over_ihme_malaria","attributable_rate_per100000","ihme_malaria_share_of_allcause"
"NGA","Kano","kano",2024,"map_full","MAP",19.8247401504606,3593026.62912006,91760.724895018,27422.6979009113,64338.0269941066,0.298850057388771,507.94406870474,106.29855207716,1043.28519786539,18250.5656495972,FALSE,TRUE,FALSE,1.5025670123006,763.220001729494,0.198892997744704
"NGA","Sokoto","sokoto",2024,"map_full","MAP",24.272861693209,1532397.94717589,50749.3691645726,16190.316064439,34559.0531001336,0.319024971757505,445.75860584484,88.92401439585,1119.1849157723,6830.79572532621,FALSE,TRUE,FALSE,2.37019473506006,1056.53470068115,0.134598633200247
"NGA","Katsina","katsina",2024,"map_full","MAP",25.7481666264205,2270344.13885969,44457.555070286,14362.9552320477,30094.5998382383,0.323071190247424,345.32110341821,65.90130305057,758.23895793995,7839.97743170093,FALSE,TRUE,FALSE,1.83201486958,632.633396241933,0.1763474716346
"NGA","Kaduna","kaduna",2024,"map_full","MAP",25.5483663968691,2107655.2021146,41097.4202639489,12429.381308021,28668.038955928,0.302437019846819,315.79638559624,87.18073444533,676.88469697084,6655.89894910905,FALSE,TRUE,FALSE,1.86742337932952,589.725553570178,0.161954178786927
"NGA","Jigawa","jigawa",2024,"map_full","MAP",23.3264526626528,1285322.36610755,37810.9844096222,11856.3480596197,25954.6363500026,0.313568880703419,436.14981697683,123.81306694526,1029.35928633261,5605.93114734033,FALSE,TRUE,FALSE,2.11496498048228,922.441589149753,0.148261972939105
"NGA","Taraba","taraba",2024,"map_full","MAP",28.548499802928,1652544.92069155,36844.0031363872,10547.7114578411,26296.2916785461,0.286280277927351,322.40624043314,94.07402922137,624.10414968105,5327.90795027044,FALSE,TRUE,FALSE,1.97970977657482,638.27078621422,0.144607195112536
"NGA","Bauchi","bauchi",2024,"map_full","MAP",24.5498471220122,1494707.50769066,33384.1805494766,9786.78326641791,23597.3972830587,0.293156312520942,319.8601787145,79.38336981599,678.69640484943,4780.97410535839,FALSE,TRUE,FALSE,2.047027038998,654.762434527315,0.143210767095894
"NGA","Kebbi","kebbi",2024,"map_full","MAP",29.8830654643758,1039720.21648957,27829.6941537331,9089.26672573288,18740.4274280002,0.326603184193228,394.01517470245,106.77045140461,782.90583653634,4096.65542741808,FALSE,TRUE,FALSE,2.21870423001658,874.203134803048,0.147204471769897
"NGA","Niger","niger",2024,"map_full","MAP",30.0785876837372,2305796.51511208,30818.3408033832,8527.73037502281,22290.6104283604,0.276709587626036,237.46564025957,77.5032899031,433.11347916417,5475.47445769374,FALSE,TRUE,FALSE,1.55744135798867,369.838809241513,0.177669346076303
"NGA","Plateau","plateau",2024,"map_full","MAP",19.8314319765802,2111570.75883411,34126.8199600167,7721.59414660719,26405.2258134096,0.226261754117549,276.24243799941,73.90728537325,566.09250581104,5833.054544286,FALSE,TRUE,FALSE,1.32376511962694,365.680103984325,0.170922885610791
