"iso3","state","key","age_band","year","series","exposure_source","pfpr_pct","ihme_deaths","implied_person_years","age_mapping","ihme_rate_per100000","log_hr_zero_vs_current","log_hr_se","hr_zero_vs_current","hr_lower_95","hr_upper_95","attributable_fraction","af_lower_95","af_upper_95","counterfactual_deaths","attributable_deaths","attributable_deaths_lower_95","attributable_deaths_upper_95","zero_below_observed_support","current_pfpr_outside_central95","current_pfpr_outside_observed_support","negative_attributable_estimate"
"NGA","Abia","abia","<1",2024,"map_full","MAP",29.3385490348385,3492.21115981618,11286.8864210489,"0-27 days mapped to model <1 completed month",30940.429712339,-0.0523942690803174,0.029301099356481,0.948954649599632,0.89599143624154,1.00504858704252,0.0510453504003675,-0.0050485870425232,0.10400856375846,3313.95001749129,178.26114232489,-17.6307320112029,363.219867073745,TRUE,FALSE,FALSE,FALSE
"NGA","Abia","abia","1-5",2024,"map_full","MAP",29.3385490348385,1505.75840401694,61049.6967925562,"direct age match",2466.44698192921,-0.146710466266444,0.0411079293996482,0.863543966333123,0.796696076027983,0.936000821678641,0.136456033666877,0.0639991783213586,0.203303923972017,1300.28858454422,205.469819472718,96.3673006075642,306.126592090485,TRUE,FALSE,FALSE,FALSE
"NGA","Abia","abia","6-11",2024,"map_full","MAP",29.3385490348385,2313.65525701036,71570.1764903117,"direct age match",3232.70860918382,-0.390296201029595,0.0527220460482429,0.676856359252721,0.610405730295909,0.750541006288976,0.323143640747279,0.249458993711024,0.389594269704091,1566.01227382595,747.642983184409,577.162112208025,901.386830201982,TRUE,FALSE,FALSE,FALSE
"NGA","Abia","abia","12-23",2024,"map_full","MAP",29.3385490348385,2260.94653819113,138665.223521518,"IHME 1 to 4 minus 2 to 4",1630.50726113767,-0.73624442669155,0.0668834000257972,0.478909120709586,0.420069170019494,0.545990904041316,0.521090879290414,0.454009095958684,0.579930829980506,1082.7879185765,1178.15861961463,1026.49029381507,1311.19260243473,TRUE,FALSE,FALSE,FALSE
"NGA","Abia","abia","24-35",2024,"map_full","MAP",29.3385490348385,1163.33301142896,136057.723848422,"IHME 2-4 rate shared; deaths and person-time divided equally",855.029011601722,-0.940972869577374,0.0753986679589754,0.390247990221274,0.336635593443518,0.452398667395508,0.609752009778726,0.547601332604492,0.663364406556482,453.988369668214,709.344641760747,637.042707321296,771.713712754138,TRUE,FALSE,FALSE,FALSE
"NGA","Abia","abia","36-47",2024,"map_full","MAP",29.3385490348385,1163.33301142896,136057.723848422,"IHME 2-4 rate shared; deaths and person-time divided equally",855.029011601722,-0.842239410641113,0.079471366580133,0.430744827986934,0.368614723876665,0.503346976719175,0.569255172013066,0.496653023280825,0.631385276123335,501.099677899489,662.233333529471,577.772857208579,734.511334644465,TRUE,FALSE,FALSE,FALSE
"NGA","Abia","abia","48-59",2024,"map_full","MAP",29.3385490348385,1163.33301142896,136057.723848422,"IHME 2-4 rate shared; deaths and person-time divided equally",855.029011601722,-0.757956449351218,0.0903204890784157,0.46862310421647,0.392591908281292,0.559378859250792,0.53137689578353,0.440621140749208,0.607408091718708,545.164727053334,618.168284375626,512.58911856704,706.617884505442,TRUE,FALSE,FALSE,FALSE
"NGA","Adamawa","adamawa","<1",2024,"map_full","MAP",24.3095856120304,4006.59711293149,9063.2871120074,"0-27 days mapped to model <1 completed month",44206.8872299477,-0.0414657290486164,0.0275228558455543,0.959382213719287,0.908999689393622,1.01255725688412,0.0406177862807129,-0.012557256884117,0.0910003106063784,3843.85800768552,162.739105245973,-50.3118691782424,364.601581751385,TRUE,FALSE,FALSE,FALSE
"NGA","Adamawa","adamawa","1-5",2024,"map_full","MAP",24.3095856120304,1548.61120434922,48597.1210571777,"direct age match",3186.63157541199,-0.126000851178392,0.0377881665183704,0.881614096372228,0.818676998983725,0.949389583299715,0.118385903627772,0.0506104167002847,0.181323001016275,1365.27746755424,183.333736794974,78.3758583588435,280.798830980027,TRUE,FALSE,FALSE,FALSE
"NGA","Adamawa","adamawa","6-11",2024,"map_full","MAP",24.3095856120304,1484.10011009275,56836.3180710748,"direct age match",2611.18270933183,-0.341167953413651,0.0501901173261724,0.710939493463807,0.644332370100158,0.784432052184508,0.289060506536193,0.215567947815492,0.355667629899842,1055.10538051892,428.994729573829,319.924415085439,527.846368690782,TRUE,FALSE,FALSE,FALSE
