"figure","filename","source","md5"
1,"survey_map_and_timing.png","results/cbh/primary_map_gamma2_v1/survey_map/survey_map_and_timing.png","813759e2d51cb94b35481497af8d1867"
2,"fig2_pfpr_mortality_by_age.png","results/cbh/primary_map_gamma2_v1/pfpr_splines.png","f5525de3b48286b884558621789c7aa1"
3,"fig3_malaria_attributable_fraction_by_age.png","results/cbh/primary_map_gamma2_v1/attributable_fraction_by_age.png","66b530f31d56f6c3ddb0e92b1730c038"
4,"fig4_country_estimates_vs_ihme.png","results/cbh/primary_map_gamma2_v1/burden/country_vs_ihme.png","4a1071578fef74800b79eb84d706d92e"
