"year","age_band","previous_deaths","revised_deaths","change_deaths"
2005,"<1",44454.438512645,58663.3079353061,14208.8694226611
2005,"1-5",74950.5873423937,58743.6995106152,-16206.8878317786
2005,"6-11",160473.989432281,150672.206340412,-9801.78309186842
2005,"12-23",260307.947025462,221517.345184614,-38790.6018408479
2005,"24-35",157219.378228582,133653.175483026,-23566.2027455556
2005,"36-47",144614.296806075,117291.333020596,-27322.9637854789
2005,"48-59",131126.976792818,113613.08613404,-17513.8906587785
2015,"<1",33088.9811940536,40355.043481872,7266.06228781841
2015,"1-5",46192.6331517656,34912.8169826093,-11279.8161691563
2015,"6-11",100186.968206755,89459.0712586249,-10727.8969481305
2015,"12-23",169243.66460308,138813.981248043,-30429.6833550372
2015,"24-35",123560.469428517,102332.213581244,-21228.2558472735
2015,"36-47",113515.450403625,90669.2591300975,-22846.1912735271
2015,"48-59",108745.36182605,93264.9875449998,-15480.3742810499
2024,"<1",28082.6702496473,34271.2050072249,6188.53475757756
2024,"1-5",40292.0189086919,30204.8769394125,-10087.1419692794
2024,"6-11",86428.7784019282,76699.9998452865,-9728.77855664176
2024,"12-23",142376.495339199,116060.562333093,-26315.9330061056
2024,"24-35",105475.186151155,86959.1845702242,-18516.0015809305
2024,"36-47",96363.9264801606,76804.5069792316,-19559.419500929
2024,"48-59",93334.1001064075,80064.3404245201,-13269.7596818875
