"year","countries","attributable_under5_deaths","counterfactual_under5_deaths","ihme_under5_deaths","ihme_malaria_deaths"
2005,42,854154.153608609,2541201.13057435,3395355.28418296,564066.526910137
2015,42,589807.37322749,2338199.35171695,2928006.72494444,416121.688943615
2024,42,501064.676098993,2135758.43075376,2636823.10685275,428146.804091449
