"age_band","records","observed_deaths","fitted_deaths","mean_observed_probability","mean_fitted_probability","brier_score","bernoulli_log_loss","smoothing_corrected_covariance_available","model_md5_verified"
"<1",1131361,32994,32997.9585836299,0.0291631053218204,0.029166604278941,0.0282573795143423,0.130870778837835,TRUE,TRUE
"1-5",1011107,13525,13525.6934314627,0.013376428014048,0.0133771138281728,0.0131622175389289,0.0697544691943585,TRUE,TRUE
"6-11",967350,12573,12573.9381192022,0.0129973639323926,0.0129983337149949,0.0127742849781783,0.0673250490560796,TRUE,TRUE
"12-23",835276,12383,12385.856676666,0.0148250398670619,0.0148284599062682,0.014491818675352,0.0737006042672167,TRUE,TRUE
"24-35",828103,9999,10000.774847671,0.0120745849248222,0.0120767281940389,0.0118379980688776,0.062030660145138,TRUE,TRUE
"36-47",802270,5981,5981.34886908606,0.00745509616463285,0.00745553101709562,0.00737465298360024,0.0424109822898064,TRUE,TRUE
"48-59",782335,3483,3483.10897273737,0.00445205698326165,0.00445219627491756,0.00442649304326275,0.0279107693106707,TRUE,TRUE
