"age_band","previous_edf","revised_edf"
"<1",2.25682571766677,2.27791169383661
"1-5",1.77078453104883,2.04217624796128
"6-11",2.33443716098132,2.4212578900736
"12-23",3.30605240520396,3.39160677757698
"24-35",3.38072407525557,3.53495654286605
"36-47",3.21123821214508,3.21596411524758
"48-59",3.16094074654435,3.30147345777335
