"survey","country","records","regional_any_model_imputed","political_stability_interpolated","health_expenditure_imputed","hiv_no_adolescent_series"
"AO62FL","AGO",44181,44181,0,0,0
"AO71FL","AGO",78397,0,0,0,0
"AO81FL","AGO",64704,0,0,0,0
"BU61FL","BDI",38604,0,0,0,0
"BU71FL","BDI",76022,0,0,0,0
"BJ41FL","BEN",1588,1588,338,0,0
"BJ51FL","BEN",88834,88834,5038,0,0
"BJ61FL","BEN",78171,78171,0,0,0
"BJ71FL","BEN",74813,0,0,0,0
"BF43FL","BFA",40778,0,12885,0,0
"BF62FL","BFA",84743,0,0,0,0
"BF81FL","BFA",74127,0,0,0,0
"CI62FL","CIV",39785,0,0,0,0
"CI81FL","CIV",61165,0,0,0,0
"CM44FL","CMR",38707,0,9811,0,0
"CM61FL","CMR",64649,0,0,0,0
"CM71FL","CMR",45974,0,0,0,0
"CD51FL","COD",47647,0,0,0,0
"CD61FL","COD",102125,0,0,0,0
"CD81FL","COD",137621,0,0,0,0
"CG51FL","COG",25794,0,5520,0,0
"CG61FL","COG",51029,0,0,0,0
"KM61FL","COM",17998,0,0,0,0
"ET41FL","ETH",468,468,0,0,0
"ET51FL","ETH",57107,0,13533,0,0
"ET61FL","ETH",68312,0,0,0,0
"ET71FL","ETH",62705,0,0,0,0
"ET81FL","ETH",33797,0,0,0,0
"ET8AFL","ETH",81174,0,0,4500,0
"GA41FL","GAB",1508,1508,0,0,0
"GA61FL","GAB",33506,0,0,0,0
"GA71FL","GAB",36435,0,0,0,0
"GH4BFL","GHA",15353,15353,4877,0,0
"GH5AFL","GHA",16772,0,0,0,0
"GH72FL","GHA",33352,0,0,0,0
"GH8CFL","GHA",53731,0,0,0,0
"GN52FL","GIN",35908,0,8565,0,0
"GN62FL","GIN",39920,0,0,0,0
"GN71FL","GIN",46902,0,0,0,0
"GM61FL","GMB",44611,0,0,0,0
"GM81FL","GMB",49125,0,0,0,0
"KE42FL","KEN",21204,0,7404,0,0
"KE52FL","KEN",34075,0,0,0,0
"KE72FL","KEN",127018,0,0,0,0
"KE8CFL","KEN",114518,0,0,0,0
"LB51FL","LBR",31692,0,0,0,31692
"LB5AFL","LBR",22821,22821,0,0,22821
"LB6AFL","LBR",44084,0,0,0,44084
"LB7AFL","LBR",32887,0,0,0,32887
"MD42FL","MDG",24494,0,7031,0,0
"MD51FL","MDG",73129,73129,0,0,0
"MD81FL","MDG",71503,0,0,0,0
"ML41FL","MLI",8987,8987,541,0,0
"ML53FL","MLI",77894,0,6510,0,0
"ML6AFL","MLI",58732,0,0,0,0
"ML7AFL","MLI",56215,0,0,0,0
"ML8AFL","MLI",88689,0,0,105,0
"MZ41FL","MOZ",41212,0,12593,0,0
"MZ62FL","MOZ",60470,0,0,0,0
"MZ81FL","MOZ",52833,0,0,0,0
"MR71FL","MRT",65366,0,0,0,0
"MW41FL","MWI",3157,3157,0,0,0
"MW4EFL","MWI",55293,0,12453,0,0
"MW61FL","MWI",114288,0,0,0,0
"MW7AFL","MWI",102346,0,0,0,0
"MW81FL","MWI",69348,0,0,1606,0
"NM41FL","NAM",1266,1266,0,0,0
"NM51FL","NAM",26318,0,136,0,0
"NM61FL","NAM",24195,0,0,0,0
"NI51FL","NER",52153,0,8965,0,0
"NI61FL","NER",73120,0,0,0,0
"NG4BFL","NGA",20997,0,7191,0,0
"NG53FL","NGA",157016,0,0,0,0
"NG61FL","NGA",32266,32266,0,0,0
"NG6AFL","NGA",177779,0,0,0,0
"NG7BFL","NGA",195272,0,0,0,0
"NG8BFL","NGA",162020,0,0,575,0
"RW41FL","RWA",2196,2196,0,0,0
"RW53FL","RWA",46547,0,9628,0,0
"RW5AFL","RWA",30338,30338,0,0,0
"RW61FL","RWA",53077,0,0,0,0
"RW70FL","RWA",45739,0,0,0,0
"RW81FL","RWA",47138,0,0,0,0
"SN4AFL","SEN",59928,0,13020,0,0
"SN5AFL","SEN",87342,87342,0,0,0
"SN61FL","SEN",68736,0,0,0,0
"SN6DFL","SEN",38506,0,0,0,0
"SN71FL","SEN",38866,0,0,0,0
"SN7AFL","SEN",40157,0,0,0,0
"SN7IFL","SEN",38822,0,0,0,0
"SN7ZFL","SEN",71323,0,0,0,0
"SN81FL","SEN",39314,0,0,0,0
"SN8BFL","SEN",35351,0,0,0,0
"SN8SFL","SEN",61934,0,0,0,0
"SL51FL","SLE",31344,0,0,0,0
"SL61FL","SLE",68076,0,0,0,0
"SL7AFL","SLE",57080,0,0,0,0
"ST51FL","STP",10839,0,0,0,10839
"SZ51FL","SWZ",11268,0,529,0,0
"TD41FL","TCD",29949,29949,7251,0,0
"TD71FL","TCD",106120,0,0,0,0
"TG61FL","TGO",35856,0,0,0,0
"TZ4IFL","TZA",45594,0,10380,0,0
"TZ63FL","TZA",45125,0,0,0,0
"TZ7BFL","TZA",56917,0,0,0,0
"TZ82FL","TZA",61723,0,0,0,0
"UG41FL","UGA",3417,3417,29,0,0
"UG52FL","UGA",46139,0,4680,0,0
"UG5AFL","UGA",20657,20657,0,0,0
"UG61FL","UGA",44636,0,0,0,0
"UG7BFL","UGA",75366,0,0,0,0
"ZA71FL","ZAF",15261,0,0,0,0
"ZM42FL","ZMB",13278,13278,4383,0,0
"ZM51FL","ZMB",34258,0,0,0,0
"ZM61FL","ZMB",78600,0,0,0,0
"ZM71FL","ZMB",57564,0,0,0,0
"ZM81FL","ZMB",51051,0,0,461,0
"ZW52FL","ZWE",29737,0,6646,29737,0
"ZW62FL","ZWE",29334,0,0,26271,0
"ZW72FL","ZWE",30500,0,0,0,0
