"age_band","pfpr_pct","reference_pct","attributable_fraction","lower_95","upper_95","zero_below_observed_support","current_outside_observed_support"
"<1",10,0,0.0304973004142943,0.00119765721812826,0.058937445134484,TRUE,FALSE
"<1",20,0,0.0614078404177802,0.0130828277249638,0.107366588830913,TRUE,FALSE
"<1",30,0,0.0912460649931783,0.0357980109459718,0.143505485608257,TRUE,FALSE
"<1",50,0,0.114324797571108,0.0525635588501048,0.172059960829229,TRUE,FALSE
"1-5",10,0,0.0491842714958733,0.0108414617417081,0.0860407966930324,TRUE,FALSE
"1-5",20,0,0.0950484886404385,0.0314705886622656,0.154452897015448,TRUE,FALSE
"1-5",30,0,0.13616916299067,0.0619717238516397,0.204497631956012,TRUE,FALSE
"1-5",50,0,0.19109848895826,0.109249751325409,0.265426357680819,TRUE,FALSE
"6-11",10,0,0.13398685529196,0.0889304690043947,0.176815005559959,TRUE,FALSE
"6-11",20,0,0.242369828069002,0.175215304297574,0.304056585420339,TRUE,FALSE
"6-11",30,0,0.324410323639893,0.254301526888275,0.387927658079072,TRUE,FALSE
"6-11",50,0,0.421670389419317,0.354950177423998,0.481489449700613,TRUE,FALSE
"12-23",10,0,0.258753312625228,0.198701263301056,0.314304857377424,TRUE,FALSE
"12-23",20,0,0.410332585187888,0.333118087017661,0.478606851794453,TRUE,FALSE
"12-23",30,0,0.475233160655127,0.402284126032341,0.539279032614569,TRUE,FALSE
"12-23",50,0,0.50093836659199,0.428456082372776,0.564228563617895,TRUE,FALSE
"24-35",10,0,0.322798323262097,0.260177785315566,0.380118490802225,TRUE,FALSE
"24-35",20,0,0.491238872773129,0.415583225762953,0.557100521429988,TRUE,FALSE
"24-35",30,0,0.551117455216755,0.481483465328345,0.611399973698665,TRUE,FALSE
"24-35",50,0,0.567795827917524,0.498114029407819,0.62780301241517,TRUE,FALSE
"36-47",10,0,0.260442583709193,0.187784917882738,0.326600571655267,TRUE,FALSE
"36-47",20,0,0.415955348363071,0.322458762640764,0.49654997172542,TRUE,FALSE
"36-47",30,0,0.485998647932858,0.398075101528445,0.561079146920627,TRUE,FALSE
"36-47",50,0,0.494977387846262,0.404707951734632,0.571558465244458,TRUE,FALSE
"48-59",10,0,0.285933300608327,0.201042044995499,0.361804650687475,TRUE,FALSE
"48-59",20,0,0.427896479067132,0.318458136711724,0.519761798512818,TRUE,FALSE
"48-59",30,0,0.455022751006109,0.346658083092113,0.545413826612287,TRUE,FALSE
"48-59",50,0,0.424262862453069,0.306870916157348,0.521772698220839,TRUE,FALSE
