"edf","Ref.df","Chi.sq","p-value","term","fit_id","series","age_band"
2.27791169383661,2.75416249406275,13.5652028667416,0.00193771929118497,"s(pfpr_pct)","map_full_age_1","map_full","<1"
3.13056465751815,3.7073725493614,46.907954084098,0,"s(calendar_year)","map_full_age_1","map_full","<1"
36.8125498410441,119,183.177401270286,0,"s(survey)","map_full_age_1","map_full","<1"
23.7832576390162,35,714.17206803187,0,"s(country)","map_full_age_1","map_full","<1"
69.7114281265649,1099,162.093764775917,0,"s(region)","map_full_age_1","map_full","<1"
2.04217624796128,2.52221335906007,19.3396470364273,0.000142304873376686,"s(pfpr_pct)","map_full_age_2","map_full","1-5"
3.27983054713486,3.87439382304733,70.4590886531849,0,"s(calendar_year)","map_full_age_2","map_full","1-5"
13.6201255763546,119,37.416908390266,0,"s(survey)","map_full_age_2","map_full","1-5"
26.5959033171248,35,427.635824962751,0,"s(country)","map_full_age_2","map_full","1-5"
0.00422080302739651,1090,0.00737198068503617,0,"s(region)","map_full_age_2","map_full","1-5"
2.4212578900736,2.93983588559435,114.883454376009,0,"s(pfpr_pct)","map_full_age_3","map_full","6-11"
2.056893782575,2.46762490788895,66.5772063713879,0,"s(calendar_year)","map_full_age_3","map_full","6-11"
45.3492007373423,118,299.328152447421,0,"s(survey)","map_full_age_3","map_full","6-11"
22.1777596662568,35,593.559466431819,0,"s(country)","map_full_age_3","map_full","6-11"
3.8775957076659,1088,7.88390374517377,0,"s(region)","map_full_age_3","map_full","6-11"
3.39160677757698,3.74734140796602,111.740066832687,0,"s(pfpr_pct)","map_full_age_4","map_full","12-23"
2.29288735657351,2.73505163740001,40.3205548846917,0,"s(calendar_year)","map_full_age_4","map_full","12-23"
45.8460824384123,115,348.112386496715,6.9335963237549e-07,"s(survey)","map_full_age_4","map_full","12-23"
22.3282767680275,35,777.841494259644,0,"s(country)","map_full_age_4","map_full","12-23"
83.7653840560376,1058,241.777946554426,0,"s(region)","map_full_age_4","map_full","12-23"
3.53495654286605,3.84275438607827,132.051406866672,0,"s(pfpr_pct)","map_full_age_5","map_full","24-35"
1.50277037194671,1.74889980287688,37.1865914338653,0,"s(calendar_year)","map_full_age_5","map_full","24-35"
37.5200366430501,115,291.49625015014,0,"s(survey)","map_full_age_5","map_full","24-35"
23.0251698636979,35,695.109961748126,0,"s(country)","map_full_age_5","map_full","24-35"
47.1245032724606,1058,136.751559573433,0,"s(region)","map_full_age_5","map_full","24-35"
3.21596411524758,3.66814964128256,78.1484530868789,0,"s(pfpr_pct)","map_full_age_6","map_full","36-47"
1.00066500253025,1.00116938826231,26.6387191140106,1.0059346156055e-06,"s(calendar_year)","map_full_age_6","map_full","36-47"
16.7194618354722,115,50.7090007238516,0,"s(survey)","map_full_age_6","map_full","36-47"
21.6121500302135,35,183.809165453252,0,"s(country)","map_full_age_6","map_full","36-47"
0.0222936928491247,1058,0.0440069694174219,0,"s(region)","map_full_age_6","map_full","36-47"
3.30147345777335,3.72420218751195,44.7324441572468,0,"s(pfpr_pct)","map_full_age_7","map_full","48-59"
1.00014613392643,1.00026525908609,10.1359464050375,0.0014558439139532,"s(calendar_year)","map_full_age_7","map_full","48-59"
11.4213274243185,115,30.164860089987,0,"s(survey)","map_full_age_7","map_full","48-59"
14.5426955878572,35,67.2061435873016,0,"s(country)","map_full_age_7","map_full","48-59"
0.000432029708399399,1058,0.00062167651330131,2.59332735341733e-06,"s(region)","map_full_age_7","map_full","48-59"
