"age_band","contrast","hazard_ratio","lower_95","upper_95","zero_extrapolation","iteration","reduction_pct","reduction_lower_95","reduction_upper_95"
"<1","40% to 20%",0.935680812739981,0.906068956920131,0.966260433759597,FALSE,"Complete-case covariates (v3)",6.4319187260019,3.3739566240403,9.3931043079869
"1-5","40% to 20%",0.92353246867843,0.885856459806251,0.962810860903829,FALSE,"Complete-case covariates (v3)",7.646753132157,3.71891390961711,11.4143540193749
"6-11","40% to 20%",0.813983348630764,0.773245822324423,0.856867082522903,FALSE,"Complete-case covariates (v3)",18.6016651369236,14.3132917477097,22.6754177675577
"12-23","40% to 20%",0.83509970631583,0.779558252557644,0.894598341048564,FALSE,"Complete-case covariates (v3)",16.490029368417,10.5401658951436,22.0441747442356
"24-35","40% to 20%",0.8238374777074,0.764999556531241,0.887200762249818,FALSE,"Complete-case covariates (v3)",17.61625222926,11.2799237750182,23.5000443468759
"36-47","40% to 20%",0.839309623771094,0.772647276856995,0.911723454744224,FALSE,"Complete-case covariates (v3)",16.0690376228906,8.8276545255776,22.7352723143005
"48-59","40% to 20%",0.929414797411845,0.838480442379783,1.03021110808073,FALSE,"Complete-case covariates (v3)",7.0585202588155,-3.02111080807299,16.1519557620217
"<1","20% to 0%",0.938032145024276,0.889222066041729,0.989521446555682,TRUE,"Complete-case covariates (v3)",6.1967854975724,1.04785534443176,11.0777933958271
"1-5","20% to 0%",0.908371850272348,0.85072173619559,0.969928689088415,TRUE,"Complete-case covariates (v3)",9.1628149727652,3.00713109115848,14.9278263804411
"6-11","20% to 0%",0.754519334856353,0.688933990562984,0.826348292391339,TRUE,"Complete-case covariates (v3)",24.5480665143647,17.3651707608661,31.1066009437016
"12-23","20% to 0%",0.578224652867549,0.507327260001534,0.659029733948826,TRUE,"Complete-case covariates (v3)",42.1775347132451,34.0970266051174,49.2672739998466
"24-35","20% to 0%",0.528684581652124,0.457870380804933,0.610450901814853,TRUE,"Complete-case covariates (v3)",47.1315418347876,38.9549098185147,54.2129619195067
"36-47","20% to 0%",0.554566762943331,0.474582231888984,0.648031624229426,TRUE,"Complete-case covariates (v3)",44.5433237056669,35.1968375770574,52.5417768111016
"48-59","20% to 0%",0.563660658811199,0.470037904493185,0.675931313739574,TRUE,"Complete-case covariates (v3)",43.6339341188801,32.4068686260426,52.9962095506815
"<1","40% to 20%",0.947478415753497,0.919543342616731,0.976262136555892,FALSE,"Imputed covariates (v4)",5.2521584246503,2.3737863444108,8.0456657383269
"1-5","40% to 20%",0.918237301429079,0.881552043285185,0.956449194529282,FALSE,"Imputed covariates (v4)",8.1762698570921,4.3550805470718,11.8447956714815
"6-11","40% to 20%",0.814780948883724,0.776836798801752,0.854578459321004,FALSE,"Imputed covariates (v4)",18.5219051116276,14.5421540678996,22.3163201198248
"12-23","40% to 20%",0.854310467587697,0.800538489910016,0.911694296063076,FALSE,"Imputed covariates (v4)",14.5689532412303,8.8305703936924,19.9461510089984
"24-35","40% to 20%",0.85402691309094,0.79490663469705,0.917544195063373,FALSE,"Imputed covariates (v4)",14.597308690906,8.2455804936627,20.509336530295
"36-47","40% to 20%",0.847074324274515,0.783130108155792,0.916239719776402,FALSE,"Imputed covariates (v4)",15.2925675725485,8.3760280223598,21.6869891844208
"48-59","40% to 20%",0.981434314355739,0.889722478302747,1.08259972843708,FALSE,"Imputed covariates (v4)",1.8565685644261,-8.25997284370801,11.0277521697253
"<1","20% to 0%",0.93859215958222,0.892633411169087,0.986917172275036,TRUE,"Imputed covariates (v4)",6.140784041778,1.30828277249639,10.7366588830913
"1-5","20% to 0%",0.904951511359562,0.845547102984552,0.968529411337734,TRUE,"Imputed covariates (v4)",9.5048488640438,3.14705886622656,15.4452897015448
"6-11","20% to 0%",0.757630171930998,0.695943414579661,0.824784695702427,TRUE,"Imputed covariates (v4)",24.2369828069002,17.5215304297573,30.4056585420339
"12-23","20% to 0%",0.589667414812112,0.521393148205547,0.666881912982339,TRUE,"Imputed covariates (v4)",41.0332585187888,33.3118087017661,47.8606851794453
"24-35","20% to 0%",0.508761127226871,0.442899478570012,0.584416774237047,TRUE,"Imputed covariates (v4)",49.1238872773129,41.5583225762953,55.7100521429988
"36-47","20% to 0%",0.584044651636929,0.50345002827458,0.677541237359236,TRUE,"Imputed covariates (v4)",41.5955348363071,32.2458762640764,49.654997172542
"48-59","20% to 0%",0.572103520932868,0.480238201487182,0.681541863288276,TRUE,"Imputed covariates (v4)",42.7896479067132,31.8458136711724,51.9761798512818
