"variable","mean","sd"
"mean_maternal_age_first_birth",19.2376698990271,1.1968190391792
"mean_maternal_education_years",4.09087528516283,2.64881144113663
"mean_wealth_quintile",2.78586872810491,0.71603625415637
"urban_pct",29.0736858985643,24.1893771867177
"dtp3_pct",68.940901116396,23.6102429646513
"measles_pct",70.3588774391082,19.7678332186285
"facility_delivery_pct",59.9440729610084,26.0364110526085
"short_birth_interval_pct",19.322625939979,6.94024212028937
"improved_water_pct",67.4179265464673,20.1498474989422
"improved_sanitation_pct",42.2789064047171,24.9930721823871
"electricity_pct",30.9235328548081,25.3948095281505
"wasting_pct",8.07887359774252,5.21710072104845
"stunting_pct",35.355979927574,12.0385798912232
"log_hiv_incidence",0.0506722868127492,1.19475718580788
"log_gdp_pc",6.7771177279075,0.792358123781259
"log_health_expenditure_pc",3.6357203743812,0.723760315664954
"political_stability",-0.804096691961967,0.778578360318163
