survey,country,variable,national,n
MC_CAF2018,CAF,improved_water_pct,57.4445139637898,8133
MC_CAF2018,CAF,improved_sanitation_pct,19.6523824490395,8132
MC_CAF2018,CAF,electricity_pct,12.6979592274231,8120
MC_CAF2018,CAF,dtp3_pct,57.4999186991658,987
MC_CAF2018,CAF,measles_pct,54.8947096700398,1254
MC_CAF2018,CAF,stunting_pct,39.7521916132687,8601
MC_CAF2018,CAF,wasting_pct,5.38020131625522,8722
MC_CIV2016,CIV,mean_maternal_age_first_birth,19.4169761595952,6572
MC_CIV2016,CIV,mean_maternal_education_years,2.82633153854551,6572
MC_CIV2016,CIV,mean_wealth_quintile,2.81849245725634,6572
MC_CIV2016,CIV,urban_pct,42.1090372284377,6572
MC_CIV2016,CIV,facility_delivery_pct,65.3260025658259,3749
MC_CIV2016,CIV,short_birth_interval_pct,15.1504334612032,7088
MC_CIV2016,CIV,improved_water_pct,81.313862986091,11879
MC_CIV2016,CIV,improved_sanitation_pct,53.132169107944,11878
MC_CIV2016,CIV,electricity_pct,64.3278639276181,11879
MC_CIV2016,CIV,dtp3_pct,74.640004505087,1516
MC_CIV2016,CIV,measles_pct,59.448388672875,1561
MC_CIV2016,CIV,stunting_pct,21.5799878525269,8743
MC_CIV2016,CIV,wasting_pct,6.04799257225913,8958
MC_CMR2014,CMR,mean_maternal_age_first_birth,19.1447133904294,4851
MC_CMR2014,CMR,mean_maternal_education_years,5.91032179687524,4851
MC_CMR2014,CMR,mean_wealth_quintile,2.88435748166708,4851
MC_CMR2014,CMR,urban_pct,43.7786293943584,4851
MC_CMR2014,CMR,facility_delivery_pct,61.7068714409467,2847
MC_CMR2014,CMR,short_birth_interval_pct,24.1422537584357,5521
MC_CMR2014,CMR,improved_water_pct,75.8056149081729,10213
MC_CMR2014,CMR,improved_sanitation_pct,55.841208233038,10204
MC_CMR2014,CMR,electricity_pct,56.7936403031341,10213
MC_CMR2014,CMR,dtp3_pct,90.5985025333254,1176
MC_CMR2014,CMR,measles_pct,86.9858248504958,1184
MC_CMR2014,CMR,stunting_pct,31.6995880948642,6702
MC_CMR2014,CMR,wasting_pct,5.21939556050261,6705
MC_COD2017,COD,mean_maternal_age_first_birth,20.0484887903611,12910
MC_COD2017,COD,mean_maternal_education_years,7.48468460075261,9979
MC_COD2017,COD,mean_wealth_quintile,2.85809669631098,12910
MC_COD2017,COD,urban_pct,40.1726431808703,12910
MC_COD2017,COD,facility_delivery_pct,80.2690667843569,8554
MC_COD2017,COD,short_birth_interval_pct,27.0049733267213,17023
MC_COD2017,COD,improved_water_pct,56.6362751550905,20679
MC_COD2017,COD,improved_sanitation_pct,30.737842725059,20788
MC_COD2017,COD,electricity_pct,26.5909878642346,20791
MC_COD2017,COD,dtp3_pct,69.1631761916213,2403
MC_COD2017,COD,measles_pct,69.8209013878196,3211
MC_COD2017,COD,stunting_pct,41.8095634144398,20908
MC_COD2017,COD,wasting_pct,6.49475891953019,21125
MC_COG2014,COG,mean_maternal_age_first_birth,19.7670518283127,6374
MC_COG2014,COG,mean_maternal_education_years,7.66628406619762,6374
MC_COG2014,COG,mean_wealth_quintile,2.86391406117048,6374
MC_COG2014,COG,urban_pct,65.0956970049837,6374
MC_COG2014,COG,facility_delivery_pct,89.9296463221348,3603
MC_COG2014,COG,short_birth_interval_pct,14.6586225284979,6987
MC_COG2014,COG,improved_water_pct,84.3919957356243,12810
MC_COG2014,COG,improved_sanitation_pct,55.302310955123,12808
MC_COG2014,COG,electricity_pct,60.4610502605579,12806
MC_COG2014,COG,dtp3_pct,41.8750283682715,1201
MC_COG2014,COG,measles_pct,70.9540117112216,1568
MC_COG2014,COG,stunting_pct,21.1872158694868,8662
MC_COG2014,COG,wasting_pct,8.16927161443088,8701
MC_COM2022,COM,mean_maternal_age_first_birth,21.5862353129406,2831
MC_COM2022,COM,mean_maternal_education_years,7.67949090703472,2832
MC_COM2022,COM,mean_wealth_quintile,2.9515162552209,2834
MC_COM2022,COM,urban_pct,32.5077522514995,2834
MC_COM2022,COM,facility_delivery_pct,94.205799600418,1650
MC_COM2022,COM,short_birth_interval_pct,28.0749603777528,3463
