"edf","Ref.df","Chi.sq","p-value","term"
3.16694908249885,3.6308065567948,10.5901827659705,0.0434320664022803,"s(pfpr_pct):age_band<1"
1.04634002952402,1.08689058604385,0.000743647115622108,0.998720182766882,"s(pfpr_pct):age_band1-5"
1.00177540221541,1.00331593573585,14.0996922303018,0.000175787754253753,"s(pfpr_pct):age_band6-11"
3.20686861608353,3.66367846338208,19.7182611944148,0.00039381723718318,"s(pfpr_pct):age_band12-23"
3.82727817191395,3.97444035744061,75.0138576859283,0,"s(pfpr_pct):age_band24-35"
3.57379683152757,3.88504188416059,42.3132641548483,0,"s(pfpr_pct):age_band36-47"
3.75944139481173,3.95623783740685,35.842453467105,7.59335531341776e-07,"s(pfpr_pct):age_band48-59"
2.81032007045989,3.51773417782486,78.1431482165544,0,"s(calendar_year)"
31.4139373064839,44,5761.00810859291,0.00213277974328796,"s(survey)"
62.4710507180653,84,3067.83840683348,0.00078255622761314,"s(country_age)"
256.286233729602,388,3606.59327670261,0.000188749835653423,"s(region)"
