"edf","Ref.df","Chi.sq","p-value","term"
3.73527078846376,3.94143616084372,20.9254263525252,0.00100294556766889,"s(pfpr_pct):age_band<1"
1.01855298931068,1.03450319149978,1.25450263785582,0.265668889854406,"s(pfpr_pct):age_band1-5"
1.44006940074558,1.73188968321193,23.621429586883,1.43712498134607e-05,"s(pfpr_pct):age_band6-11"
3.38247454338541,3.7672767856878,52.5270974866878,0,"s(pfpr_pct):age_band12-23"
3.30407534780333,3.70924362038283,70.1275917968575,0,"s(pfpr_pct):age_band24-35"
3.20500706626298,3.64557486313165,48.4311596819846,0,"s(pfpr_pct):age_band36-47"
3.54148175944794,3.8609034315562,28.680404531466,1.63640291198086e-05,"s(pfpr_pct):age_band48-59"
4.28924051776329,4.77892169931195,50.3560450463573,0,"s(calendar_year)"
39.0287614853667,51,15483.8242723894,-1.77991500649455e-07,"s(survey)"
116.743532831698,203,3625.10047447762,0,"s(country_age)"
363.354025689461,559,4051.56232907314,0.0012701110097787,"s(region)"
