"fit_id","age_band","pfpr_min","pfpr_p025","pfpr_p975","pfpr_max","reference_within_observed_support"
"reference","<1",0.0164865959077473,1.76782403096607,67.5343293391306,94.7588284788529,TRUE
"reference","1-5",0.0164865959077473,1.76768905979204,67.3804721618428,94.7588284788529,TRUE
"reference","6-11",0.0164865959077473,1.75228032887322,67.0775337306141,94.7588284788529,TRUE
"reference","12-23",0.0164865959077473,1.74737139843124,66.3280806954508,94.7588284788529,TRUE
"reference","24-35",0.0164865959077473,1.74574104390516,66.3446960305032,94.7588284788529,TRUE
"reference","36-47",0.0164865959077473,1.74615801560054,66.4693798324298,94.7588284788529,TRUE
"reference","48-59",0.0164865959077473,1.72053231100745,66.3280806954508,94.7588284788529,TRUE
"age_1","<1",0.0164865959077473,1.76782403096607,67.5343293391306,94.7588284788529,TRUE
"age_2","1-5",0.0164865959077473,1.76768905979204,67.3804721618428,94.7588284788529,TRUE
"age_3","6-11",0.0164865959077473,1.75228032887322,67.0775337306141,94.7588284788529,TRUE
"age_4","12-23",0.0164865959077473,1.74737139843124,66.3280806954508,94.7588284788529,TRUE
"age_5","24-35",0.0164865959077473,1.74574104390516,66.3446960305032,94.7588284788529,TRUE
"age_6","36-47",0.0164865959077473,1.74615801560054,66.4693798324298,94.7588284788529,TRUE
"age_7","48-59",0.0164865959077473,1.72053231100745,66.3280806954508,94.7588284788529,TRUE
"west","<1",1.20041401539612,2.22590802793005,72.9430069535775,94.7588284788529,TRUE
"west","1-5",1.20041401539612,2.2301703202221,72.42245831458,94.7588284788529,TRUE
"west","6-11",1.20041401539612,2.2301703202221,72.2879183181127,94.7588284788529,TRUE
"west","12-23",1.20041401539612,2.31955842213461,71.1287334115602,94.7588284788529,TRUE
"west","24-35",1.20041401539612,2.29014919642085,71.6135944347254,94.7588284788529,TRUE
"west","36-47",1.20041401539612,2.31955842213461,71.6135944347254,94.7588284788529,TRUE
"west","48-59",1.20041401539612,2.26099934799828,71.1287334115602,94.7588284788529,TRUE
"east_central","<1",0.598754639038319,1.74737139843124,61.9950234901193,87.6830665543666,TRUE
"east_central","1-5",0.598754639038319,1.74737139843124,62.5086471663939,87.6830665543666,TRUE
"east_central","6-11",0.598754639038319,1.74737139843124,62.0642659403075,87.6830665543666,TRUE
"east_central","12-23",0.598754639038319,1.74574104390516,62.0642659403075,87.6830665543666,TRUE
"east_central","24-35",0.598754639038319,1.71141964213774,62.5086471663939,87.6830665543666,TRUE
"east_central","36-47",0.598754639038319,1.71141964213774,61.9950234901193,87.6830665543666,TRUE
"east_central","48-59",0.598754639038319,1.66635380349634,61.8713950225618,87.6830665543666,TRUE
"early","<1",0.674401713021227,2.63156678722835,75.5906354206313,94.7588284788529,TRUE
"early","1-5",1.22754173353314,2.63378647082624,75.4958986829672,94.7588284788529,TRUE
"early","6-11",1.22754173353314,2.63378647082624,75.4958986829672,94.7588284788529,TRUE
"early","12-23",1.22754173353314,2.65801922848775,74.5059983376031,94.7588284788529,TRUE
"early","24-35",1.22754173353314,2.65380680550968,74.5567446114921,94.7588284788529,TRUE
"early","36-47",1.22754173353314,2.65380680550968,74.5567446114921,94.7588284788529,TRUE
"early","48-59",1.22754173353314,2.65801922848775,74.5059983376031,94.7588284788529,TRUE
"late","<1",0.0164865959077473,1.46255919596779,54.701613576432,87.6830665543666,TRUE
"late","1-5",0.0164865959077473,1.46255919596779,54.9789337683759,87.6830665543666,TRUE
"late","6-11",0.0164865959077473,1.46255919596779,54.7188458224689,87.6830665543666,TRUE
"late","12-23",0.0164865959077473,1.46255919596779,55.0375792475868,87.6830665543666,TRUE
"late","24-35",0.0164865959077473,1.43781942985971,55.0375792475868,87.6830665543666,TRUE
"late","36-47",0.0164865959077473,1.43781942985971,54.9998999297881,87.6830665543666,TRUE
"late","48-59",0.0164865959077473,1.39438596434118,55.0375792475868,87.6830665543666,TRUE
