"age_band","rows","deaths","countries","surveys","fit_id"
"<1",1042571,30086,34,105,"reference"
"1-5",935677,12137,34,105,"reference"
"6-11",895573,11291,34,105,"reference"
"12-23",772578,11062,34,105,"reference"
"24-35",768240,9168,34,105,"reference"
"36-47",744682,5477,34,105,"reference"
"48-59",725701,3194,34,105,"reference"
"<1",1042571,30086,34,105,"age_1"
"1-5",935677,12137,34,105,"age_2"
"6-11",895573,11291,34,105,"age_3"
"12-23",772578,11062,34,105,"age_4"
"24-35",768240,9168,34,105,"age_5"
"36-47",744682,5477,34,105,"age_6"
"48-59",725701,3194,34,105,"age_7"
"<1",496323,15685,13,45,"west"
"1-5",443545,5954,13,45,"west"
"6-11",424419,5522,13,45,"west"
"12-23",366347,6289,13,45,"west"
"24-35",366031,5503,13,45,"west"
"36-47",354961,3185,13,45,"west"
"48-59",347227,1762,13,45,"west"
"<1",532606,14109,18,56,"east_central"
"1-5",479870,5983,18,56,"east_central"
"6-11",459584,5646,18,56,"east_central"
"12-23",396249,4682,18,56,"east_central"
"24-35",392331,3605,18,56,"east_central"
"36-47",380144,2263,18,56,"east_central"
"48-59",369053,1418,18,56,"east_central"
"<1",436335,13595,30,53,"early"
"1-5",385874,6189,30,53,"early"
"6-11",364665,6024,30,53,"early"
"12-23",307561,5825,30,53,"early"
"24-35",304958,4769,30,53,"early"
"36-47",293351,2823,30,53,"early"
"48-59",284272,1574,30,53,"early"
"<1",606236,16491,30,52,"late"
"1-5",549803,5948,30,52,"late"
"6-11",530908,5267,30,52,"late"
"12-23",465017,5237,30,52,"late"
"24-35",463282,4399,30,52,"late"
"36-47",451331,2654,30,52,"late"
"48-59",441429,1620,30,52,"late"
