"fit_id","rows","deaths","countries","surveys","regions","converged","iterations","rank","coefficients","finite_coefficients","finite_covariance","elapsed_seconds","min_smoothing_hessian_eigenvalue","max_smoothing_gradient","warnings"
"reference",5885022,82415,34,105,1015,TRUE,21,1496,1496,TRUE,TRUE,251.708,-0.000234512035154542,0.00509452636607683,"openMP not available: single threaded computation only"
"age_1",1042571,30086,34,105,1015,TRUE,13,1178,1178,TRUE,TRUE,75.995,0.304271428387943,0.00321309819662474,"openMP not available: single threaded computation only"
"age_2",935677,12137,34,105,1015,TRUE,15,1178,1178,TRUE,TRUE,86.396,0.250825442577653,0.00153609878626071,"openMP not available: single threaded computation only"
"age_3",895573,11291,34,105,1015,TRUE,16,1178,1178,TRUE,TRUE,87.967,0.450197189468895,0.000185539553029912,"openMP not available: single threaded computation only"
"age_4",772578,11062,34,105,1015,TRUE,14,1178,1178,TRUE,TRUE,64.431,0.789002830893789,0.000686558005497773,"openMP not available: single threaded computation only"
"age_5",768240,9168,34,105,1015,TRUE,22,1178,1178,TRUE,TRUE,104.08,0.352889929348003,0.000296742930572691,"openMP not available: single threaded computation only"
"age_6",744682,5477,34,105,1013,TRUE,17,1176,1176,TRUE,TRUE,79.369,0.000176247367479206,0.000409063945326693,"openMP not available: single threaded computation only"
"age_7",725701,3194,34,105,1014,TRUE,21,1177,1177,TRUE,TRUE,98.303,0.000118560323331143,0.000159010932364367,"openMP not available: single threaded computation only"
"west",2798853,43900,13,45,389,TRUE,20,663,663,TRUE,TRUE,172.771,-0.0003716360342253,0.00972175352540376,"openMP not available: single threaded computation only"
"east_central",3009837,37706,18,56,595,TRUE,18,915,915,TRUE,TRUE,199.748,0.048866327787226,0.00419786878892564,"openMP not available: single threaded computation only"
"early",2377016,40799,30,53,455,TRUE,20,856,856,TRUE,TRUE,166.712,0.00126794213758402,0.00133559914101531,"openMP not available: single threaded computation only"
"late",3508006,41616,30,52,560,TRUE,17,960,960,TRUE,TRUE,205.141,0.0012341795723762,0.00114995131925045,"openMP not available: single threaded computation only"
