"edf","Ref.df","Chi.sq","p-value","term"
2.39973509094113,2.88414026443537,6.74333832006637,0.0711981857060689,"s(pfpr_pct):age_band<1"
1.34608869740017,1.58045883573522,2.26810564608238,0.171707106996319,"s(pfpr_pct):age_band1-5"
2.48360619663067,2.98390313187755,24.4599830365128,2.21084992952925e-05,"s(pfpr_pct):age_band6-11"
3.46021501527651,3.82059669304608,64.3695620295758,0,"s(pfpr_pct):age_band12-23"
3.42763797209621,3.80206700176378,64.5995441209789,0,"s(pfpr_pct):age_band24-35"
3.08918824049655,3.56606173355386,30.1592492460823,4.94232095921143e-06,"s(pfpr_pct):age_band36-47"
2.54995851110024,3.05930259181161,6.60871454505109,0.0909660395972842,"s(pfpr_pct):age_band48-59"
3.68091445656935,4.30913085584781,63.830186568145,0,"s(calendar_year)"
35.8402740109314,55,6075.36900438918,-3.14041279203536e-07,"s(survey)"
75.2293200079751,119,1231.96458795698,0.0011149617727968,"s(country_age)"
382.157023555293,594,3022.85778232605,0.00135090059380749,"s(region)"
