"edf","Ref.df","Chi.sq","p-value","term"
1.01309200562277,1.02433669508622,4.61137166191892,0.0331424001699467,"s(pfpr_pct):age_band<1"
1.0018895069677,1.00359319963234,1.30975630023021,0.252548708894925,"s(pfpr_pct):age_band1-5"
2.81717904808139,3.34770740309762,43.0065426823906,0,"s(pfpr_pct):age_band6-11"
3.62972494075193,3.91431595559175,94.9601144877172,0,"s(pfpr_pct):age_band12-23"
3.80193979611223,3.97138603785922,153.458567628127,0,"s(pfpr_pct):age_band24-35"
3.54028235169923,3.87545871731072,74.1787795502305,0,"s(pfpr_pct):age_band36-47"
3.62578733814278,3.91294735818378,38.3658966246922,3.39634844248593e-07,"s(pfpr_pct):age_band48-59"
3.79214868032373,4.43252062467477,174.678478561965,0,"s(calendar_year)"
72.2355154505466,104,17278.5966475008,1.77323847287969e-05,"s(survey)"
159.600038085677,231,7063.84075285192,1.34814980161657e-05,"s(country_age)"
652.516325220096,1014,9184.93535508025,8.407927844023e-05,"s(region)"
