"fit_id","model","series","age_band","log_hazard_ratio","standard_error","pfpr_min","pfpr_p025","pfpr_p975","pfpr_max","reference_within_observed_support","hazard_ratio_40_to_20","lower_95","upper_95","contrast_within_observed_support","contrast_within_central_support"
"reference","reference","Joint model","<1",-0.0308721742432818,0.0144346440766778,0.0164865959077473,1.76782403096607,67.5343293391306,94.7588284788529,TRUE,1.03135366189803,1.00258360361942,1.06094930345006,TRUE,TRUE
"reference","reference","Joint model","1-5",0.0212497997308058,0.0185368557068367,0.0164865959077473,1.76768905979204,67.3804721618428,94.7588284788529,TRUE,0.978974386484752,0.944044440714922,1.01519675140231,TRUE,TRUE
"reference","reference","Joint model","6-11",0.119293988106673,0.0283263669336442,0.0164865959077473,1.75228032887322,67.0775337306141,94.7588284788529,TRUE,0.887546834189928,0.83961345363909,0.938216722786313,TRUE,TRUE
"reference","reference","Joint model","12-23",0.128232049788392,0.0334409081301154,0.0164865959077473,1.74737139843124,66.3280806954508,94.7588284788529,TRUE,0.879649233041143,0.82384223504873,0.939236591996407,TRUE,TRUE
"reference","reference","Joint model","24-35",0.128249340602973,0.0371845653270254,0.0164865959077473,1.74574104390516,66.3446960305032,94.7588284788529,TRUE,0.879634023320853,0.817805219549635,0.946137290991783,TRUE,TRUE
"reference","reference","Joint model","36-47",0.15297132643367,0.0441553430858394,0.0164865959077473,1.74615801560054,66.4693798324298,94.7588284788529,TRUE,0.858154327803661,0.787008839384019,0.93573135837273,TRUE,TRUE
"reference","reference","Joint model","48-59",-0.0684692332211281,0.0566021695834215,0.0164865959077473,1.72053231100745,66.3280806954508,94.7588284788529,TRUE,1.07086767729511,0.958418240881881,1.19651059773261,TRUE,TRUE
"age_1","separate","Separate age fits","<1",0.0163657705256633,0.0186267379131178,0.0164865959077473,1.76782403096607,67.5343293391306,94.7588284788529,TRUE,0.983767421112334,0.948499348164176,1.02034686762325,TRUE,TRUE
"age_2","separate","Separate age fits","1-5",0.0643632227999831,0.0257957042492341,0.0164865959077473,1.76768905979204,67.3804721618428,94.7588284788529,TRUE,0.937664356596787,0.891434957240571,0.986291190950899,TRUE,TRUE
"age_3","separate","Separate age fits","6-11",0.168507861549227,0.0329498092038287,0.0164865959077473,1.75228032887322,67.0775337306141,94.7588284788529,TRUE,0.844924620976326,0.792082688782814,0.901291778297828,TRUE,TRUE
"age_4","separate","Separate age fits","12-23",0.0991032466730698,0.0457710417625175,0.0164865959077473,1.74737139843124,66.3280806954508,94.7588284788529,TRUE,0.905649197929674,0.827940084833233,0.990651962304579,TRUE,TRUE
"age_5","separate","Separate age fits","24-35",0.140842130745366,0.0493797602247486,0.0164865959077473,1.74574104390516,66.3446960305032,94.7588284788529,TRUE,0.868626430281083,0.788497170703991,0.956898646458311,TRUE,TRUE
"age_6","separate","Separate age fits","36-47",0.138049988570291,0.0543638635665592,0.0164865959077473,1.74615801560054,66.4693798324298,94.7588284788529,TRUE,0.871055147855973,0.783015207441027,0.968994041745397,TRUE,TRUE
"age_7","separate","Separate age fits","48-59",0.00523283806547795,0.064490422487671,0.0164865959077473,1.72053231100745,66.3280806954508,94.7588284788529,TRUE,0.994780829381394,0.876661736602741,1.12881497753012,TRUE,TRUE
"west","west","West Africa","<1",0.0268799143531823,0.0320191578713631,1.20041401539612,2.22590802793005,72.9430069535775,94.7588284788529,TRUE,0.973478135257102,0.914262578494907,1.03652900393639,TRUE,TRUE
"west","west","West Africa","1-5",0.000101930867489095,0.0279709293434449,1.20041401539612,2.2301703202221,72.42245831458,94.7588284788529,TRUE,0.999898074327285,0.946556182076034,1.05624597670538,TRUE,TRUE
"west","west","West Africa","6-11",0.104845721476888,0.0279354100915946,1.20041401539612,2.2301703202221,72.2879183181127,94.7588284788529,TRUE,0.900463434039183,0.852485460368254,0.95114161324391,TRUE,TRUE
"west","west","West Africa","12-23",0.12683953680405,0.0459401906735003,1.20041401539612,2.31955842213461,71.1287334115602,94.7588284788529,TRUE,0.880875009276407,0.805024706665903,0.963872009818622,TRUE,TRUE
"west","west","West Africa","24-35",0.10935536152586,0.0531245510852108,1.20041401539612,2.29014919642085,71.6135944347254,94.7588284788529,TRUE,0.896411810622454,0.807768734059811,0.994782417716018,TRUE,TRUE
"west","west","West Africa","36-47",0.19179720850308,0.0641611014729277,1.20041401539612,2.31955842213461,71.6135944347254,94.7588284788529,TRUE,0.825474250678231,0.727928123300364,0.936092062830794,TRUE,TRUE
"west","west","West Africa","48-59",-0.134371135818817,0.0832644259561633,1.20041401539612,2.26099934799828,71.1287334115602,94.7588284788529,TRUE,1.14381725243123,0.971584398948624,1.34658183928755,TRUE,TRUE
"east_central","east_central","East and Central","<1",-0.0260678769770348,0.0270194167351304,0.598754639038319,1.74737139843124,61.9950234901193,87.6830665543666,TRUE,1.02641061575881,0.97346814209718,1.08223238808076,TRUE,TRUE
"east_central","east_central","East and Central","1-5",0.0461831023370962,0.0286253818585242,0.598754639038319,1.74737139843124,62.5086471663939,87.6830665543666,TRUE,0.954867107784026,0.902768748547097,1.00997203879202,TRUE,TRUE
"east_central","east_central","East and Central","6-11",0.126158340575203,0.0357928648622641,0.598754639038319,1.74737139843124,62.0642659403075,87.6830665543666,TRUE,0.881475262432694,0.821755514562991,0.945535046021557,TRUE,TRUE
