survey,iso3,year,round,subnational,n_files,has_bh,haz_var,whz_var,region_var,n_regions,region_labels,edu_var,wealth_var,urban_var,first_birth_var,delivery_var,water_var,toilet_var,electricity_var,dtp_vars,dtp3_var,measles_var,raw_anthro,bh_dob_source,bh_has_core,births,deaths,deaths_age_known,deaths_under5,births_last5y,deaths_last5y_under5,interview_year,alive_codes
CAF_2018_MICS6_v01_M,CAF,2018,6,FALSE,9,TRUE,HAP,WHP,HH7,7,Région 1 | Région 2 | Région 3 | Région 4 | Région 5 | Région 6 | Région 7,welevel,windex5,HH6,WDOBFC,MN20,WS1,WS11,VCT2D,11,IM6PENTA3D,IM6MD,TRUE,cmc,TRUE,26536,2899,2899,2548,8848,633,2019,"1,2"
CIV_2000_MICS2_v01_M,CIV,2000,2,FALSE,4,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIV_2006_MICS3_v01_M,CIV,2006,3,FALSE,5,FALSE,HAP,WHZ,HH7,11,Centre | Centre Nord | Nord Est | Centre Est | Sud (sans ville d' Abidjan) | Sud Ouest | Centre Ouest | Ouest | Nord Ouest | Nord | Ville Abidjan,WM11,wlthind5,HH6,,MN8,WS1,WS7,HC9A,20,IM4CD,IM6D,TRUE,,,,,,,,,,
CIV_2016_MICS5_v01_M,CIV,2016,5,FALSE,8,TRUE,HAZ2,WHZ2,HH7,11,Centre | Centre-Est | Centre-Nord | Centre-Ouest | Nord | Nord-Est | Nord-Ouest | Ouest | Sud sans Ville d'Abidjan | Sud-Ouest | Ville d'Abidjan,welevel,windex5,HH6,,MN18,WS1,WS8,HC8A,11,IM3D3D,IM16,FALSE,cmc,TRUE,32126,3948,3948,3598,9384,778,2016,"1,2"
CMR_2000_MICS2_v01_M,CMR,2000,2,FALSE,4,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMR_2006_MICS3_v01_M,CMR,2006,3,FALSE,5,FALSE,hap,whp,HH7,12,Douala | Yaounde | Adamaoua | Centre | Est | Extreme Nord | Littoral | Nord | Nord Ouest | Ouest | Sud | Sud Ouest,WM11,wlthind5,HH6,,MN8,WS1,WS7,hc9a,11,im4cd,im6d,TRUE,,,,,,,,,,
CMR_2014_MICS5_v01_M,CMR,2014,5,FALSE,8,TRUE,HAP,WHP,HH7,12,Adamaoua | Centre (sans Yaoundé) | Douala | Est | Extrême-Nord | Littoral (sans Douala) | Nord | Nord-Ouest | Ouest | Sud | Sud-Ouest | Yaoundé,welevel,windex5,HH6,WDOBFC,MN18,WS1,WS8,HC8A,11,IM3H3D,IM3MD,TRUE,cmc,TRUE,26201,3208,3208,2816,7337,552,2014,"1,2"
COD_2001_MICS2_v01_M,COD,2001,2,FALSE,4,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
COD_2010_MICS4_v01_M,COD,2010,4,FALSE,5,FALSE,HAP,WHP,HH7,11,Kinshasa | Bas congo | Bandundu | Equateur | Province Orientale | Nord Kivu | Maniema | Sud Kivu | Katanga | Kasai Oriental | Kasai Occidental,welevel,windex5,HH6,WDOBFC,MN18,WS1,WS8,HC8A,11,IM3D3D,IM16,TRUE,,,,,,,,,,
COD_2017_MICS6_v01_M,COD,2017,6,FALSE,8,TRUE,HAZ,WHZ,HH7,26,Kinshasa | Kongo Central | Kwango | Kwilu | Maindombe | Equateur | Sud Ubangi | Nord Ubangi | Mongala | Tshuapa | Tshopo | Bas Uele | Haut Uele | Ituri | Nord Kivu | Sud Kivu | Maniema | Haut Katanga | Lualaba | Haut Lomami | Tanganyika | Lomami | Kasai Oriental | Sankuru | Kasai Central | Kasai,welevel,windex5,HH6,WDOBFC,MN20,WS1,WS11,HC8,20,IM6PENTA3D,IM6MD,FALSE,cmc,TRUE,61703,5289,5289,4731,21382,1186,2018,"1,2"
COG_2014_MICS5_v01_M,COG,2014,5,FALSE,8,TRUE,HAZ,WHZ,HH7,12,KOUILOU | NIARI | LEKOUMOU | BOUENZA | POOL | PLATEAUX | CUVETTE | CUVETTE OUEST | SANGHA | LIKOUALA | BRAZZAVILLE | POINTE-NOIRE,welevel,windex5,HH6,WDOBFC,MN18,WS1,WS8,HC8A,22,IM3D3D,IM3MD,FALSE,cmc,TRUE,31640,2558,2558,2237,9117,467,2015,"1,2"
COM_2000_MICS2_v01_M,COM,2000,2,FALSE,4,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
COM_2022_MICS6_v01_M,COM,2022,6,FALSE,9,TRUE,HAP,WHP,HH7,3,Mwali | Ndzuwani | Ngazidja,welevel,windex5,HH6,WDOBFC,MN20,WS1,WS11,HC8,11,IM6PENTA3D,IM6RR1D,FALSE,cmc,TRUE,16533,696,696,606,4370,132,2022,"1,2"
GHA_2006_MICS3_v01_M,GHA,2006,3,FALSE,6,FALSE,haz,whz,HH7,10,Western | Central | Greater Accra | Volta | Eastern | Ashanti | Brong Ahafo | Northern | Upper East | Upper West,WM11,wlthind5,HH6,,MN8,WS1,WS7,HC9A,20,IM4CD,IM6D,TRUE,,,,,,,,,,
GHA_2011_MICS4_v01_M,GHA,2011,4,FALSE,8,TRUE,HAP,WHP,HH7,10,Western | Central | Greater Accra | Volta | Eastern | Asante | Brong Ahafo | Northern | Upper East | Upper West,welevel,windex5,HH6,WDOBFC,MN18,WS1,WS8,HC8A,11,IM3D3D,IM3MD,TRUE,cmc,TRUE,31145,4026,4026,3601,7581,546,2011,"1,2"
GHA_2017_MICS6_v01_M,GHA,2017,6,FALSE,9,TRUE,HAP,WHP,HH7,10,WESTERN | CENTRAL | GREATER ACCRA | VOLTA | EASTERN | ASHANTI | BRONG AHAFO | NORTHERN | UPPER EAST | UPPER WEST,welevel,windex5,HH6,WDOBFC,MN20,WS1,WS11,HC8,11,IM6PENTA3D,IM6MD,TRUE,cmc,TRUE,34595,2903,2903,2556,8574,362,2017,"1,2"
GHA(Accra)_2010_MICS4_v01_M,GHA,2010,4,TRUE,7,FALSE,HAP,WHP,HH7,5,Bubiashie | La | James Town | Nima | Accra New Town,welevel,windex5,HH6,WDOBFC,MN18,WS1,WS8,HC8A,11,IM3D3D,IM3MD,TRUE,,,,,,,,,,
GIN_2016_MICS5_v01_M,GIN,2016,5,FALSE,10,TRUE,HAZ2,WHZ2,HH7,8,Boké | Conakry | Faranah | Kankan | Kindia | Labé | Mamou | N'Zérékoré,welevel,windex5,HH6,WDOBFC,MN18,WS1,WS8,HC8A,10,IM3D3D,IM3MD,FALSE,cmc,TRUE,27046,2937,2937,2512,7402,485,2016,"1,2"
GMB_2000_MICS2_v01_M,GMB,2000,2,FALSE,4,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMB_2005_MICS3_v01_M,GMB,2005,3,FALSE,5,FALSE,hap,whp,hh7,8,Banjul | Kanifing | Brikama | Mansakonko | Kerewan | Kuntaur | Janjanburay | Basse,wm11,wlthind5,hh6,,mn8,ws1,ws7,hc9a,17,im4cd,im6d,TRUE,,,,,,,,,,
