survey,iso3,year,round,subnational,n_files,has_bh,haz_var,whz_var,region_var,n_regions,region_labels,edu_var,wealth_var,urban_var,first_birth_var,delivery_var,water_var,toilet_var,electricity_var,dtp_vars,dtp3_var,measles_var,raw_anthro,bh_dob_source,bh_has_core,births,deaths,deaths_age_known,deaths_under5,births_last5y,deaths_last5y_under5,interview_year,alive_codes
MLI_2015_MICS5_v01_M,MLI,2015,5,FALSE,8,TRUE,HAZ,WHZ,HH7,8,Kayes | Koulikoro | Sikasso | Ségou | Mopti | Tombouctou | Gao | Bamako,welevel,windex5,HH6,wdobfc,MN18,WS1,WS8,HC8A,11,IM3PT3D,IM16,FALSE,cmc,TRUE,55820,6669,6669,5977,16703,1184,2015,"1,2"
MOZ_2008_MICS3_v01_M,MOZ,2008,3,FALSE,6,TRUE,HAZ,WHZ,HH7,11,Niassa | Cabo Delgado | Nampula | Zambézia | Tete | Manica | Sofala | Inhambane | Gaza | Maputo Província | Maputo Cidade,WM11,WLTHIND5,HH6,,MN8,WS1,WS7,ELECTRIC,9,IM4CD,IM6D,TRUE,cmc,TRUE,42216,7920,7840,7121,12269,1259,2008,"1,2"
MRT_2007_MICS3_v01_M,MRT,2007,3,FALSE,6,FALSE,HAP,WHZ,HH7,13,Hodh ECharghi | Hodh ELGharbi | Assaba | Gorgol | Brakna | Trarza | Adrar | Nouadhibou | Tagant | Guidimagha | Tiris Zemmour | Inchiri | Nouakchott,WM11,wlthind5,HH6,,MN8,WS1,WS7,HC9A,20,IM4CD,IM6D,TRUE,,,,,,,,,,
MRT_2011_MICS4_v01_M,MRT,2011,4,FALSE,8,TRUE,HAP,WHP,HH7,12,Hodh charghy | Hodh Gharby | Assaba | Gorgol | Brakna | Trarza | Adrar | Dakhlett Nouadibou | Tagant | Guidimagha | Tirs-ezemour | Nouakchott,welevel,wlthind5,HH6,WDOBFC,MN18,WS1,WS8,HC8A,22,IM3D3D,IM3MD,TRUE,cmc,TRUE,33648,3313,3313,2801,9368,517,2011,"1,2"
MRT_2015_MICS5_v01_M,MRT,2015,5,FALSE,8,TRUE,HAZ,WHZ,HH7,13,Hodh charghy | Hodh Gharby | Assaba | Gorgol | Brakna | Trarza | Adrar | Dakhlett Nouadibou | Tagant | Guidimagha | Tirs-ezemour | Inchiri | Nouakchott,welevel,windex5,HH6,WDOBFC,MN18,WS1,WS8,HC8A,11,IM3D3D,IM16,FALSE,cmc,TRUE,37506,2764,2764,2468,10697,510,2015,"1,2"
MWI_2006_MICS3_v01_M,MWI,2006,3,FALSE,7,TRUE,HAP,WHP,HHREG,3,Northern | Central | Southern,WM11,WLTHIND5,HH6,,MN8,WS1,WS7,HC9A,11,IM5CD,IM6D,TRUE,cmc,TRUE,78960,11964,11964,10917,24358,2075,2006,"1,2"
MWI_2013_MICS5_v01_M,MWI,2013,5,FALSE,8,TRUE,HAP,WHP,HH7,31,Chitipa | Karonga | Nkhatabay | Rumphi | Mzimba | Mzuzu city | Kasungu | Nkhotakota | Ntchisi | Dowa | Salima | Lilongwe | Mchinji | Dedza | Ntcheu | Lilongwe city | Mangochi | Machinga | Zomba | Chiradzulu | Blantyre | Mwanza | Thyolo | Mulanje | Phalombe | Chikwawa | Nsanje | Balaka | Neno | Zomba city | Blantyre city,welevel,windex5,HH6,WDOBFC,MN18,WS1,WS8,HC8A,11,IM3D3D,IM3MD,TRUE,cmc,TRUE,72579,9224,9224,8469,19190,1200,2014,"1,2"
MWI_2019_MICS6_v01_M,MWI,2019,6,FALSE,8,TRUE,HAP,WHP,HH7,3,North | Central | South,welevel,windex5,HH6,WDOBFC,MN20,WS1,WS11,HC8,11,IM6PENTA3D,IM6M1D,TRUE,cmc,TRUE,63945,5741,5741,5055,15243,657,2020,"1,2"
NER_2000_MICS2_v01_M,NER,2000,2,FALSE,4,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGA_2007_MICS3_v01_M,NGA,2007,3,FALSE,5,FALSE,HAP,WHP,hh7,37,Abia | Adamawa | Akwa-Ibom | Anambra | Bauchi | Bayelsa | Benue | Borno | Cross-Rivers | Delta | Ebonyi | Edo | Ekiti | Enugu | Gombe | Imo | Jigawa | Kaduna | Kano | Katsina | Kebbi | Kogi | Kwara | Lagos | Nasarawa | Niger | Ogun | Ondo | Osun | Oyo | Plataeu | Rivers | Sokoto | Taraba | Yobe | Zamfara | Abuja FCT,WM11,wlthind5,HH6,,MN8,WS1,WS7,HC9A,20,IM4CD,IM6D,TRUE,,,,,,,,,,
