"iso3","country","pfpr_pct","status","map_population_coverage_within_raster","map_coverage_below_95pct","ihme_under5_deaths","counterfactual_under5_deaths","attributable_under5_deaths","attributable_fraction","model_id","hiv_treatment","year"
"AGO","Angola",12.001303326479,"estimated",0.998084957706995,FALSE,77321.0488630937,64482.0099786372,12839.0388844565,0.166048431484544,"age_band_separate_v1","posterior_median",2015
"BDI","Burundi",16.717817650048,"estimated",0.903118502531811,TRUE,39468.6283250787,31434.2189995328,8034.40932554586,0.203564442609239,"age_band_separate_v1","posterior_median",2015
"BEN","Benin",36.3793100261877,"estimated",1,FALSE,38817.0754924683,26988.4482920411,11828.6272004272,0.304727418291012,"age_band_separate_v1","posterior_median",2015
"BFA","Burkina Faso",39.2003452509794,"estimated",1,FALSE,55253.1036656593,40318.7592815333,14934.344384126,0.270289692222447,"age_band_separate_v1","posterior_median",2015
"BWA","Botswana",0.0668556239324968,"estimated",0.500006041684288,TRUE,2000.78906689539,1999.08880488849,1.70026200689591,0.000849795730608521,"age_band_separate_v1","posterior_median",2015
"CAF","Central African Republic",36.7348327663838,"estimated",1,FALSE,28150.8022278888,20666.1033911732,7484.69883671562,0.265878704845597,"age_band_separate_v1","posterior_median",2015
"CIV","Cote d'Ivoire",21.3567298975211,"estimated",0.999044906250652,FALSE,77900.2697353517,61154.103344105,16746.1663912467,0.214969299183917,"age_band_separate_v1","posterior_median",2015
"CMR","Cameroon",25.339889009207,"estimated",0.994188327616715,FALSE,86832.2296518058,64139.9697359202,22692.2599158856,0.261334529896108,"age_band_separate_v1","posterior_median",2015
"COD","Democratic Republic of the Congo",31.2906693790223,"estimated",0.967925701459564,FALSE,248211.14235586,177063.743633547,71147.3987223138,0.286640632032182,"age_band_separate_v1","posterior_median",2015
"COG","Congo",19.1216915715156,"estimated",0.999999884856155,FALSE,9147.10580862238,7269.80513505426,1877.30067356812,0.205234389198659,"age_band_separate_v1","posterior_median",2015
"COM","Comoros",0.242446595277091,"estimated",0.977875023773357,FALSE,1091.49777195399,1088.25998986497,3.23778208902262,0.00296636619168389,"age_band_separate_v1","posterior_median",2015
"CPV","Cape Verde",,"missing_MAP_no_estimate",,,297.674343911654,,,,"age_band_separate_v1","posterior_median",2015
"DJI","Djibouti",0.446388006068223,"estimated",0.900244405140964,TRUE,1975.83391624404,1966.68150027223,9.15241597180649,0.00463217879628505,"age_band_separate_v1","posterior_median",2015
"ERI","Eritrea",0.437883754324056,"estimated",0.941587510523092,TRUE,12707.9072451884,12596.9856581803,110.921587008119,0.00872854867980856,"age_band_separate_v1","posterior_median",2015
"ETH","Ethiopia",4.44168903034584,"estimated",0.827586281480413,TRUE,222280.681072973,210820.552151473,11460.1289214996,0.0515570173088381,"age_band_separate_v1","posterior_median",2015
"GAB","Gabon",16.5336880312919,"estimated",0.999284909726468,FALSE,2235.68864689905,1856.58798301172,379.100663887335,0.169567736729869,"age_band_separate_v1","posterior_median",2015
