"iso3","age_band","ihme_deaths","implied_person_years","ihme_rate_per100000","age_mapping","Location","pfpr_pct","population_weight_on_map","population_weight_within_raster","map_population_coverage_within_raster","legacy_density_weighted_pfpr_pct","status","map_coverage_below_95pct","exposure_year","population_weight_year","log_hr_zero_vs_current","log_hr_se","hr_zero_vs_current","hr_lower_95","hr_upper_95","monte_carlo_se_log_hr","imputations","attributable_fraction","af_lower_95","af_upper_95","counterfactual_rate_per100000","attributable_rate_per100000","attributable_rate_per100000_lower_95","attributable_rate_per100000_upper_95","counterfactual_deaths","attributable_deaths","attributable_deaths_lower_95","attributable_deaths_upper_95","model_id","hiv_treatment","uncertainty","zero_below_observed_support","current_pfpr_outside_central95","negative_attributable_estimate"
"AGO","<1",23967.7145856338,85687.5596199016,27971.0551822824,"0-27 days mapped to model <1 completed month","Angola",12.001303326479,36776664,36847228,0.998084957706995,11.934278269143,"estimated",FALSE,2015,2020,-0.0159581601735162,0.0199831052113964,0.984168496632999,0.94636748190529,1.02347940761324,0,1,0.0158315033670013,-0.0234794076132367,0.0536325180947103,27528.2313279855,442.823854296884,-656.743805997147,1500.1581231919,23588.269631472,379.444954161789,-562.747740313816,1285.44888620286,"age_band_separate_v1","posterior_median","conditional model uncertainty only; HIV imputation held fixed",TRUE,FALSE,FALSE
"AGO","1-5",13673.4103389223,466364.880630094,2931.91252318325,"direct age match","Angola",12.001303326479,36776664,36847228,0.998084957706995,11.934278269143,"estimated",FALSE,2015,2020,-0.0503610157872431,0.0272050935854799,0.950886077641727,0.901511915139278,1.00296437292587,0,1,0.0491139223582735,-0.00296437292587126,0.0984880848607217,2787.91479915838,143.997724024872,-8.69128210474732,288.758449387485,13001.8555251637,671.554813758646,-40.5330874130296,1346.66799779525,"age_band_separate_v1","posterior_median","conditional model uncertainty only; HIV imputation held fixed",TRUE,FALSE,FALSE
"AGO","6-11",11709.7947770341,536200.381654204,2183.84678147913,"direct age match","Angola",12.001303326479,36776664,36847228,0.998084957706995,11.934278269143,"estimated",FALSE,2015,2020,-0.163055953634174,0.040015141718246,0.849543652029965,0.785461221645638,0.918854294540867,0,1,0.150456347970035,0.0811457054591332,0.214538778354362,1855.27317021167,328.573611267465,177.209787697782,468.519820611637,9947.981819403,1761.81295763115,950.199557964109,2512.20506624519,"age_band_separate_v1","posterior_median","conditional model uncertainty only; HIV imputation held fixed",TRUE,FALSE,FALSE
"AGO","12-23",9451.92650518088,1057980.4982681,893.39326392628,"direct age match","Angola",12.001303326479,36776664,36847228,0.998084957706995,11.934278269143,"estimated",FALSE,2015,2020,-0.396269382963747,0.0603011639491052,0.67282542381592,0.597824831096647,0.75723527592966,0,1,0.32717457618408,0.24276472407034,0.402175168903353,601.097701435487,292.295562490793,216.884369203364,359.300586816669,6359.49645672525,3092.43004845563,2294.59432996337,3801.3301386832,"age_band_separate_v1","posterior_median","conditional model uncertainty only; HIV imputation held fixed",TRUE,FALSE,FALSE
"AGO","24-35",6172.73421877417,1014442.54859918,608.48534274296,"IHME 2-4 rate shared; deaths and person-time divided equally","Angola",12.001303326479,36776664,36847228,0.998084957706995,11.934278269143,"estimated",FALSE,2015,2020,-0.505872014073255,0.0664370784686999,0.602979539460697,0.529360134546583,0.686837374559114,0,1,0.397020460539303,0.313162625440886,0.470639865453417,366.904211735734,241.581131007226,190.554867475683,286.377459838923,3722.03243644973,2450.70178232444,1933.06965410012,2905.13480220358,"age_band_separate_v1","posterior_median","conditional model uncertainty only; HIV imputation held fixed",TRUE,FALSE,FALSE
"AGO","36-47",6172.73421877417,1014442.54859918,608.48534274296,"IHME 2-4 rate shared; deaths and person-time divided equally","Angola",12.001303326479,36776664,36847228,0.998084957706995,11.934278269143,"estimated",FALSE,2015,2020,-0.456798702763208,0.0708955214329724,0.633307810344883,0.551148293165934,0.72771482306501,0,1,0.366692189655117,0.27228517693499,0.448851706834066,385.358520039499,223.126822703461,165.681539211115,273.119684673689,3909.2407919328,2263.49342684137,1680.74402893159,2770.64228992983,"age_band_separate_v1","posterior_median","conditional model uncertainty only; HIV imputation held fixed",TRUE,FALSE,FALSE
"AGO","48-59",6172.73421877417,1014442.54859918,608.48534274296,"IHME 2-4 rate shared; deaths and person-time divided equally","Angola",12.001303326479,36776664,36847228,0.998084957706995,11.934278269143,"estimated",FALSE,2015,2020,-0.445633377650799,0.0825956610082268,0.640418520769513,0.544701196209524,0.752955720675246,0,1,0.359581479230487,0.247044279324754,0.455298803790476,389.685283109376,218.800059633584,150.322822977611,277.042648674907,3953.1333174907,2219.60090128346,1524.93867654031,2810.43850592442,"age_band_separate_v1","posterior_median","conditional model uncertainty only; HIV imputation held fixed",TRUE,FALSE,FALSE
"BDI","<1",12649.1144101055,34130.9725256836,37060.5156374815,"0-27 days mapped to model <1 completed month","Burundi",16.717817650048,10240924,11339513,0.903118502531811,16.8718316295086,"estimated",TRUE,2015,2020,-0.022193571707972,0.0259881861956262,0.978050893744256,0.929480472475071,1.0291593842813,0,1,0.0219491062557444,-0.0291593842813014,0.070519527524929,36247.0704418618,813.445195619759,-1080.6618171365,2613.49005258544,12371.477653877,277.636756228473,-368.840387902413,892.00957180941,"age_band_separate_v1","posterior_median","conditional model uncertainty only; HIV imputation held fixed",TRUE,FALSE,FALSE
"BDI","1-5",7215.70472469568,185271.692707332,3894.66119689104,"direct age match","Burundi",16.717817650048,10240924,11339513,0.903118502531811,16.8718316295086,"estimated",TRUE,2015,2020,-0.0693432869959287,0.0355822191708356,0.933006336154075,0.870155667602283,1.00039665971759,0,1,0.0669936638459245,-0.000396659717588399,0.129844332397717,3633.74357387276,260.917623018284,-1.5448552104613,505.699683025612,6732.29822795797,483.406496737712,-2.86217939829906,936.918362757166,"age_band_separate_v1","posterior_median","conditional model uncertainty only; HIV imputation held fixed",TRUE,FALSE,FALSE
"BDI","6-11",5342.98961105673,212585.464249544,2513.33722647417,"direct age match","Burundi",16.717817650048,10240924,11339513,0.903118502531811,16.8718316295086,"estimated",TRUE,2015,2020,-0.221519803416214,0.0512834962367057,0.801300053512336,0.724673834327676,0.886028645362325,0,1,0.198699946487664,0.113971354637675,0.275326165672324,2013.9372540683,499.39997240587,286.448448362557,691.987501606646,4281.33786125561,1061.65174980111,608.947763787158,1471.06484283931,"age_band_separate_v1","posterior_median","conditional model uncertainty only; HIV imputation held fixed",TRUE,FALSE,FALSE
"BDI","12-23",5293.9663414667,416008.086435571,1272.56332607049,"direct age match","Burundi",16.717817650048,10240924,11339513,0.903118502531811,16.8718316295086,"estimated",TRUE,2015,2020,-0.513499460443968,0.0751592028897771,0.598397840903631,0.516433478674907,0.693370958282776,0,1,0.401602159096369,0.306629041717224,0.483566521325093,761.499146733725,511.064179336765,390.204873197477,615.369020753797,3167.89802855017,2126.06831291653,1623.28382616717,2559.98488775518,"age_band_separate_v1","posterior_median","conditional model uncertainty only; HIV imputation held fixed",TRUE,FALSE,FALSE
"BDI","24-35",2988.95107925137,389332.19523246,767.71228165879,"IHME 2-4 rate shared; deaths and person-time divided equally","Burundi",16.717817650048,10240924,11339513,0.903118502531811,16.8718316295086,"estimated",TRUE,2015,2020,-0.658886124919376,0.0826714506502877,0.517427363065957,0.440026999811896,0.608442382317085,0,1,0.482572636934043,0.391557617682915,0.559973000188104,397.235341492057,370.476940166733,300.603592072231,429.898149641727,1546.56507527018,1442.38600398119,1170.34656396244,1673.73190326386,"age_band_separate_v1","posterior_median","conditional model uncertainty only; HIV imputation held fixed",TRUE,FALSE,FALSE
"BDI","36-47",2988.95107925137,389332.19523246,767.71228165879,"IHME 2-4 rate shared; deaths and person-time divided equally","Burundi",16.717817650048,10240924,11339513,0.903118502531811,16.8718316295086,"estimated",TRUE,2015,2020,-0.597045769100893,0.0881574705739756,0.550435349618587,0.46309121466019,0.654253556358348,0,1,0.449564650381413,0.345746443641652,0.53690878533981,422.575978161339,345.136303497451,265.433791123545,412.191468635875,1645.22433230058,1343.72674695079,1033.41920587004,1604.79409340097,"age_band_separate_v1","posterior_median","conditional model uncertainty only; HIV imputation held fixed",TRUE,FALSE,FALSE
"BDI","48-59",2988.95107925137,389332.19523246,767.71228165879,"IHME 2-4 rate shared; deaths and person-time divided equally","Burundi",16.717817650048,10240924,11339513,0.903118502531811,16.8718316295086,"estimated",TRUE,2015,2020,-0.570538531670168,0.102446350894025,0.565220967331608,0.46239781371044,0.690908850428384,0,1,0.434779032668392,0.309091149571616,0.53760218628956,433.927078471537,333.785203187253,237.293071678163,412.723801061112,1689.41782032131,1299.53325893006,923.858325099127,1606.86663491808,"age_band_separate_v1","posterior_median","conditional model uncertainty only; HIV imputation held fixed",TRUE,FALSE,FALSE
"BEN","<1",11348.3334679703,34728.2874615604,32677.4923195721,"0-27 days mapped to model <1 completed month","Benin",36.3793100261877,13527325,13527325,1,36.170253709291,"estimated",FALSE,2015,2020,-0.0423825338405329,0.0383562464283163,0.958503050580539,0.88908770243871,1.03333798842588,0,1,0.0414969494194606,-0.0333379884258753,0.11091229756129,31321.476073632,1356.0162459401,-1089.40186073653,3624.33575170514,10877.4122480548,470.921219915537,-378.330609808169,1258.66973842427,"age_band_separate_v1","posterior_median","conditional model uncertainty only; HIV imputation held fixed",TRUE,FALSE,FALSE
"BEN","1-5",4927.19384652888,188613.438384404,2612.32385599535,"direct age match","Benin",36.3793100261877,13527325,13527325,1,36.170253709291,"estimated",FALSE,2015,2020,-0.136991492961595,0.054339637240422,0.871977644047863,0.783883219155232,0.969972303449312,0,1,0.128022355952137,0.0300276965506883,0.216116780844768,2277.88800144085,334.435854554496,78.4420680399522,564.567022281707,4296.40288206338,630.7909644655,147.952281669988,1064.84927270997,"age_band_separate_v1","posterior_median","conditional model uncertainty only; HIV imputation held fixed",TRUE,FALSE,FALSE
"BEN","6-11",5585.59762511073,216211.209925703,2583.39871786949,"direct age match","Benin",36.3793100261877,13527325,13527325,1,36.170253709291,"estimated",FALSE,2015,2020,-0.403999697438441,0.0682391020860329,0.667644323272406,0.584063318545383,0.763185990703906,0,1,0.332355676727594,0.236814009296094,0.415936681454617,1724.79148873478,858.607229134714,611.785007989064,1074.53028958475,3729.19254648901,1856.40507862172,1322.74776791721,2323.25494012935,"age_band_separate_v1","posterior_median","conditional model uncertainty only; HIV imputation held fixed",TRUE,FALSE,FALSE
"BEN","12-23",5371.34162998856,421735.463757646,1273.62816067924,"direct age match","Benin",36.3793100261877,13527325,13527325,1,36.170253709291,"estimated",FALSE,2015,2020,-0.667751676959872,0.0837177357460109,0.512860358273931,0.435249685072602,0.604310022751633,0,1,0.487139641726069,0.395689977248367,0.564750314927398,653.193394793723,620.434765885517,503.961897922047,719.281904844004,2754.74819276762,2616.59343722095,2125.38604736338,3033.46687711869,"age_band_separate_v1","posterior_median","conditional model uncertainty only; HIV imputation held fixed",TRUE,FALSE,FALSE
