"age_band","start_month","end_month","cumulative_hazard","death_probability","counterfactual_death_probability","survival_end","counterfactual_survival_end"
"<1",0,0.919917864476386,0.0221071043735652,0.0218645331456952,0.0210302832535077,0.978135466854305,0.978969716746492
"1-5",0.919917864476386,6,0.0148483793814095,0.014738685791425,0.0130590239472872,0.96371903554689,0.966185327771831
"6-11",6,12,0.0153610482113161,0.015243669100871,0.0105962080339587,0.949028421462803,0.955947427039402
"12-23",12,24,0.0112801099448412,0.0112167280467697,0.00581321654137592,0.9383834277506,0.950390297643851
"24-35",24,36,0.0084362241945785,0.00840073911206422,0.00353565957451518,0.930500313386982,0.94703004108846
"36-47",36,48,0.0084362241945785,0.00840073911206422,0.00378440400247548,0.922683423010524,0.9434460968105
"48-59",48,60,0.0084362241945785,0.00840073911206422,0.004290587597264,0.914932200290787,0.939398158688838
