"iso3","age_band","draw","log_hr_zero_vs_current","variance","model_id","hiv_treatment"
"AGO","<1",,-0.0159581601735162,0.000399324493889736,"age_band_separate_v1","posterior_median"
"BDI","<1",,-0.022193571707972,0.000675385821738538,"age_band_separate_v1","posterior_median"
"BEN","<1",,-0.0423825338405329,0.00147120164006973,"age_band_separate_v1","posterior_median"
"BFA","<1",,-0.0429018336215775,0.00154738183956891,"age_band_separate_v1","posterior_median"
"BWA","<1",,-8.90514165177986e-05,1.429282679304e-08,"age_band_separate_v1","posterior_median"
"CAF","<1",,-0.0424989868763488,0.00148130782268303,"age_band_separate_v1","posterior_median"
"CIV","<1",,-0.0282798873807011,0.000921245894114907,"age_band_separate_v1","posterior_median"
"CMR","<1",,-0.0332432841626982,0.00109447904961919,"age_band_separate_v1","posterior_median"
"COD","<1",,-0.039327101327283,0.0013120543782651,"age_band_separate_v1","posterior_median"
"COG","<1",,-0.0253585039393486,0.000809072011435081,"age_band_separate_v1","posterior_median"
"COM","<1",,-0.000322937692164458,1.87955468333379e-07,"age_band_separate_v1","posterior_median"
"DJI","<1",,-0.000594585734028915,6.37077522772712e-07,"age_band_separate_v1","posterior_median"
"ERI","<1",,-0.00058325817928686,6.13038765741066e-07,"age_band_separate_v1","posterior_median"
"ETH","<1",,-0.00591492600261383,6.18889140420066e-05,"age_band_separate_v1","posterior_median"
"GAB","<1",,-0.0219507485730733,0.000664732262021238,"age_band_separate_v1","posterior_median"
"GHA","<1",,-0.0352925705068709,0.00116419259672412,"age_band_separate_v1","posterior_median"
"GIN","<1",,-0.0425779228267124,0.00148888259049784,"age_band_separate_v1","posterior_median"
"GMB","<1",,-0.0214598153398733,0.000643078764236673,"age_band_separate_v1","posterior_median"
"GNB","<1",,-0.00723540356395603,9.17418229268853e-05,"age_band_separate_v1","posterior_median"
"GNQ","<1",,-0.0415222836024704,0.00141431428143243,"age_band_separate_v1","posterior_median"
"KEN","<1",,-0.00747287605535019,9.7677957278737e-05,"age_band_separate_v1","posterior_median"
"LBR","<1",,-0.0408677521446799,0.00138016958340039,"age_band_separate_v1","posterior_median"
"MDG","<1",,-0.0081604887297412,0.000115804059273859,"age_band_separate_v1","posterior_median"
"MLI","<1",,-0.0375938644802685,0.00124541553735583,"age_band_separate_v1","posterior_median"
"MOZ","<1",,-0.0416136101499755,0.00141950819738106,"age_band_separate_v1","posterior_median"
"MRT","<1",,-0.00852536368010723,0.00012597445168829,"age_band_separate_v1","posterior_median"
"MWI","<1",,-0.024172579017582,0.000760310885139497,"age_band_separate_v1","posterior_median"
"NAM","<1",,-0.000995696773599949,1.78597064947697e-06,"age_band_separate_v1","posterior_median"
"NER","<1",,-0.0321979907701047,0.00105897752962123,"age_band_separate_v1","posterior_median"
"NGA","<1",,-0.0324972651607011,0.00106916338095751,"age_band_separate_v1","posterior_median"
"RWA","<1",,-0.00468150755611604,3.9042730545936e-05,"age_band_separate_v1","posterior_median"
"SEN","<1",,-0.00505274802172646,4.53921255755047e-05,"age_band_separate_v1","posterior_median"
"SLE","<1",,-0.042901589103483,0.00155467110057126,"age_band_separate_v1","posterior_median"
"SOM","<1",,-0.00407822558794934,2.971275594373e-05,"age_band_separate_v1","posterior_median"
"SSD","<1",,-0.0350923352491601,0.00115732617863168,"age_band_separate_v1","posterior_median"
"SWZ","<1",,-0.0020109451552387,7.27312734459322e-06,"age_band_separate_v1","posterior_median"
"TCD","<1",,-0.0205009208183084,0.000600447557488562,"age_band_separate_v1","posterior_median"
"TGO","<1",,-0.0420514912336021,0.00144668092301373,"age_band_separate_v1","posterior_median"
"TZA","<1",,-0.0138177453486002,0.000310164790127284,"age_band_separate_v1","posterior_median"
"UGA","<1",,-0.0297838358526874,0.000975386563368873,"age_band_separate_v1","posterior_median"
"ZMB","<1",,-0.0249015755840312,0.000790507442694245,"age_band_separate_v1","posterior_median"
"ZWE","<1",,-0.0090984084944113,0.000142693495928499,"age_band_separate_v1","posterior_median"
"AGO","1-5",,-0.0503610157872431,0.00074011711699472,"age_band_separate_v1","posterior_median"
"BDI","1-5",,-0.0693432869959287,0.00126609432112138,"age_band_separate_v1","posterior_median"
"BEN","1-5",,-0.136991492961595,0.00295279617542066,"age_band_separate_v1","posterior_median"
