"edf","Ref.df","Chi.sq","p-value","term","age_band"
2.37479788264035,2.8459999672683,19.2840516711336,0.000154727497225282,"s(pfpr_pct)","<1"
1.11500849206286,1.18984064961246,22.354865918992,7.769085560827e-06,"s(calendar_year)","<1"
27.8905731899256,94,140.821382030787,0,"s(survey)","<1"
20.3761025136828,33,478.311925454465,0,"s(country)","<1"
79.202998806089,904,197.063712481267,0,"s(region)","<1"
1.99554619555631,2.46108962553808,17.251954227555,0.000323357422794823,"s(pfpr_pct)","1-5"
3.24553382462528,3.8388232113411,60.7821310191366,0,"s(calendar_year)","1-5"
14.7770431025107,94,45.5759343302051,0,"s(survey)","1-5"
23.9003797016053,33,353.223752402199,0,"s(country)","1-5"
0.00899803737087746,904,0.0165508341038287,0,"s(region)","1-5"
2.40146814780339,2.92651225953145,97.8974407879385,0,"s(pfpr_pct)","6-11"
1.83100056057504,2.19082088812875,43.6410173404515,0,"s(calendar_year)","6-11"
35.8610569632131,94,262.269336889361,0,"s(survey)","6-11"
21.5889784274987,33,565.123410795575,0,"s(country)","6-11"
0.0105904303618637,904,0.0205313151405827,0,"s(region)","6-11"
3.33245614004726,3.7076657576093,119.689569512641,0,"s(pfpr_pct)","12-23"
2.11629386935723,2.52360963142355,28.9584263555145,2.70117091133448e-06,"s(calendar_year)","12-23"
28.9693076518066,94,185.551789157031,1.3919877328572e-06,"s(survey)","12-23"
22.4780534101032,33,553.647204265941,0,"s(country)","12-23"
67.9114539437679,904,207.238861825293,0,"s(region)","12-23"
3.3854016063045,3.75833210024678,126.899823633337,0,"s(pfpr_pct)","24-35"
1.04828359658834,1.07842894090002,37.3658156035714,0,"s(calendar_year)","24-35"
32.4866016798375,94,290.684238991269,0,"s(survey)","24-35"
19.7024790635185,33,472.090049421812,0,"s(country)","24-35"
33.4996803365762,904,108.884755854307,0,"s(region)","24-35"
3.20827187543903,3.65753387016611,83.135941556989,0,"s(pfpr_pct)","36-47"
1.00030520143454,1.00055278396093,27.9243787810938,-1.6108631606393e-07,"s(calendar_year)","36-47"
6.37424936482484,94,15.877135878574,2.53327215316013e-05,"s(survey)","36-47"
19.4835482921375,33,140.920355701723,0,"s(country)","36-47"
11.4519545997851,903,25.1062260749911,0,"s(region)","36-47"
3.22898553335089,3.67449771330998,53.1454448856569,0,"s(pfpr_pct)","48-59"
1.0001384147612,1.0002536519774,12.5315375591899,0.000400177553403158,"s(calendar_year)","48-59"
7.86421270876304,94,20.3768005631909,1.097849013032e-06,"s(survey)","48-59"
11.9943315778971,33,48.9326238127369,0,"s(country)","48-59"
0.000951234152459316,903,0.0015100784942669,1.22031298910308e-06,"s(region)","48-59"
